"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
169,2020-06-17,177,187,197,3785
170,2020-06-18,182,192,202,3914
171,2020-06-19,186,196,206,4055
172,2020-06-20,190,200,210,4149
173,2020-06-21,193,204,215,4173
174,2020-06-22,196,207,218,4245
175,2020-06-23,200,211,222,4290
176,2020-06-24,203,214,225,4364
177,2020-06-25,206,217,228,4560
178,2020-06-26,208,220,232,4681
179,2020-06-27,211,223,235,4681
180,2020-06-28,214,226,238,NA
181,2020-06-29,216,228,240,NA
182,2020-06-30,219,231,243,NA
183,2020-07-01,221,233,245,NA
184,2020-07-02,223,235,247,NA
185,2020-07-03,225,237,249,NA
186,2020-07-04,226,239,252,NA
187,2020-07-05,227,240,253,NA
188,2020-07-06,229,242,255,NA
189,2020-07-07,230,243,256,NA
