"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
179,2020-06-27,221,251,281,254
180,2020-06-28,235,266,297,267
181,2020-06-29,248,281,314,285
182,2020-06-30,260,295,330,293
183,2020-07-01,272,308,344,311
184,2020-07-02,283,321,359,323
185,2020-07-03,294,333,372,337
186,2020-07-04,303,344,385,341
187,2020-07-05,313,355,397,344
188,2020-07-06,321,364,407,359
189,2020-07-07,329,373,417,371
190,2020-07-08,336,381,426,NA
191,2020-07-09,343,389,435,NA
192,2020-07-10,348,395,442,NA
193,2020-07-11,354,401,448,NA
194,2020-07-12,359,407,455,NA
195,2020-07-13,363,411,459,NA
196,2020-07-14,367,416,465,NA
197,2020-07-15,370,419,468,NA
198,2020-07-16,373,423,473,NA
199,2020-07-17,376,426,476,NA
