"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
191,2020-07-09,124816,130816,136816,131000
192,2020-07-10,126291,132362,138433,133546
193,2020-07-11,127716,133855,139994,135945
194,2020-07-12,129088,135293,141498,136785
195,2020-07-13,130409,136678,142947,137206
196,2020-07-14,131681,138011,144341,139437
197,2020-07-15,132904,139292,145680,141248
198,2020-07-16,134077,140522,146967,144000
199,2020-07-17,135204,141703,148202,145938
200,2020-07-18,136283,142834,149385,146544
201,2020-07-19,137317,143918,150519,146972
202,2020-07-20,138308,144956,151604,NA
203,2020-07-21,139254,145948,152642,NA
204,2020-07-22,140159,146896,153633,NA
205,2020-07-23,141023,147802,154581,NA
206,2020-07-24,141848,148666,155484,NA
207,2020-07-25,142635,149491,156347,NA
208,2020-07-26,143385,150277,157169,NA
209,2020-07-27,144099,151026,157953,NA
210,2020-07-28,144781,151740,158699,NA
211,2020-07-29,145428,152419,159410,NA
