"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,10,10,10,0,27
2019-12-31,12,12,12,0,27
2020-01-01,14,15,16,1,27
2020-01-02,18,19,20,1,44
2020-01-03,23,24,25,1,44
2020-01-04,29,30,31,1,59
2020-01-05,36,37,38,1,59
2020-01-06,44,46,48,2,59
2020-01-07,56,58,60,2,59
2020-01-08,70,72,74,3,59
2020-01-09,87,90,93,4,59
2020-01-10,109,113,117,5,59
2020-01-11,137,142,147,6,59
2020-01-12,171,177,183,7,59
2020-01-13,215,222,229,9,59
2020-01-14,268,277,286,11,59
2020-01-15,334,346,358,14,59
2020-01-16,418,433,448,18,63
2020-01-17,523,541,559,22,80
2020-01-18,653,676,699,27,216
2020-01-19,816,844,872,34,235
2020-01-20,1018,1053,1088,43,386
2020-01-21,1270,1314,1358,53,526
2020-01-22,1583,1638,1693,66,623
2020-01-23,1970,2039,2108,82,882
2020-01-24,2450,2535,2620,103,1323
2020-01-25,3042,3148,3254,127,1988
2020-01-26,3770,3901,4032,158,2775
2020-01-27,4661,4823,4985,195,4528
2020-01-28,5746,5946,6146,240,5994
2020-01-29,7060,7306,7552,295,7734
2020-01-30,8640,8941,9242,362,9714
2020-01-31,10520,10886,11252,440,11809
2020-02-01,12734,13178,13622,533,14399
2020-02-02,15310,15843,16376,641,17211
2020-02-03,18262,18898,19534,764,20448
2020-02-04,21588,22340,23092,903,24320
2020-02-05,25265,26145,27025,1057,28047
2020-02-06,29246,30265,31284,1224,31207
2020-02-07,33460,34625,35790,1400,34625
2020-02-08,37812,39129,40446,1582,37232
2020-02-09,42199,43669,45139,1766,40206
2020-02-10,46512,48132,49752,1946,42696
2020-02-11,50649,52413,54177,2119,44724
2020-02-12,54524,56423,58322,2282,59865
2020-02-13,58075,60098,62121,2430,64021
2020-02-14,61263,63397,65531,2564,66559
2020-02-15,64074,66306,68538,2681,68566
2020-02-16,66513,68830,71147,2783,70618
2020-02-17,68600,70989,73378,2871,72508
2020-02-18,70363,72814,75265,2944,74258
2020-02-19,71840,74342,76844,3006,74652
2020-02-20,73065,75610,78155,3058,75543
2020-02-21,74074,76654,79234,3100,76369
2020-02-22,74901,77510,80119,3134,77016
2020-02-23,75576,78208,80840,3163,77234
2020-02-24,76124,78775,81426,3186,77749
2020-02-25,76566,79233,81900,3204,78159
2020-02-26,76925,79604,82283,3219,78598
2020-02-27,77213,79902,82591,3231,78927
2020-02-28,77446,80143,82840,3241,79355
2020-02-29,77632,80336,83040,3249,79929
2020-03-01,77781,80490,83199,3255,80134
2020-03-02,77902,80615,83328,3260,80261
2020-03-03,77998,80714,83430,3264,80380
2020-03-04,78075,80794,83513,3267,80497
2020-03-05,78137,80858,83579,3270,80667
2020-03-06,78186,80909,83632,3272,80768
2020-03-07,78226,80950,83674,3273,80814
2020-03-08,78257,80982,83707,3275,80859
2020-03-09,78283,81009,83735,3276,80879
2020-03-10,78302,81029,83756,3277,80908
2020-03-11,78318,81046,83774,3277,80932
2020-03-12,78331,81059,83787,3278,80954
2020-03-13,78342,81070,83798,3278,80973
2020-03-14,78350,81079,83808,3279,80995
2020-03-15,78357,81086,83815,3279,81020
2020-03-16,78362,81091,83820,3279,81130
2020-03-17,78366,81095,83824,3279,81163
2020-03-18,78370,81099,83828,3279,81238
2020-03-19,78372,81102,83832,3280,81337
2020-03-20,78374,81104,83834,3280,81416
2020-03-21,78376,81106,83836,3280,81499
2020-03-22,78377,81107,83837,3280,81649
2020-03-23,78378,81108,83838,3280,81748
2020-03-24,78379,81109,83839,3280,81847
2020-03-25,78380,81110,83840,3280,81968
2020-03-26,78380,81110,83840,3280,81285
2020-03-27,78381,81111,83841,3280,NA
2020-03-28,78381,81111,83841,3280,NA
2020-03-29,78381,81111,83841,3280,NA
2020-03-30,78382,81112,83842,3280,NA
2020-03-31,78382,81112,83842,3280,NA
2020-04-01,78382,81112,83842,3280,NA
2020-04-02,78382,81112,83842,3280,NA
