"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"China",2019-12-30,14,14,14,1,27,0,"35.86166","104.195397"
"China",2019-12-31,18,18,18,1,27,0,"35.86166","104.195397"
"China",2020-01-01,21,22,23,1,27,0,"35.86166","104.195397"
"China",2020-01-02,26,27,28,2,44,0,"35.86166","104.195397"
"China",2020-01-03,33,34,35,2,44,0,"35.86166","104.195397"
"China",2020-01-04,41,42,43,2,59,0,"35.86166","104.195397"
"China",2020-01-05,51,52,53,3,59,0,"35.86166","104.195397"
"China",2020-01-06,62,64,66,4,59,0,"35.86166","104.195397"
"China",2020-01-07,78,80,82,4,59,0,"35.86166","104.195397"
"China",2020-01-08,96,98,100,5,59,0,"35.86166","104.195397"
"China",2020-01-09,119,122,125,7,59,1,"35.86166","104.195397"
"China",2020-01-10,147,151,155,8,59,1,"35.86166","104.195397"
"China",2020-01-11,182,186,190,10,59,1,"35.86166","104.195397"
"China",2020-01-12,224,230,236,13,59,1,"35.86166","104.195397"
"China",2020-01-13,278,285,292,16,59,2,"35.86166","104.195397"
"China",2020-01-14,344,352,360,20,59,2,"35.86166","104.195397"
"China",2020-01-15,426,436,446,24,59,2,"35.86166","104.195397"
"China",2020-01-16,525,538,551,30,63,2,"35.86166","104.195397"
"China",2020-01-17,649,665,681,37,80,3,"35.86166","104.195397"
"China",2020-01-18,801,821,841,46,216,3,"35.86166","104.195397"
"China",2020-01-19,990,1014,1038,57,235,6,"35.86166","104.195397"
"China",2020-01-20,1221,1251,1281,70,386,17,"35.86166","104.195397"
"China",2020-01-21,1506,1543,1580,86,526,17,"35.86166","104.195397"
"China",2020-01-22,1855,1901,1947,106,623,26,"35.86166","104.195397"
"China",2020-01-23,2283,2339,2395,131,882,41,"35.86166","104.195397"
"China",2020-01-24,2806,2875,2944,160,1323,56,"35.86166","104.195397"
"China",2020-01-25,3444,3529,3614,197,1988,81,"35.86166","104.195397"
"China",2020-01-26,4219,4323,4427,241,2775,106,"35.86166","104.195397"
"China",2020-01-27,5157,5284,5411,295,4528,132,"35.86166","104.195397"
"China",2020-01-28,6286,6441,6596,359,5994,170,"35.86166","104.195397"
"China",2020-01-29,7638,7826,8014,437,7734,213,"35.86166","104.195397"
"China",2020-01-30,9244,9472,9700,529,9714,259,"35.86166","104.195397"
"China",2020-01-31,11138,11412,11686,637,11809,304,"35.86166","104.195397"
"China",2020-02-01,13346,13674,14002,763,14399,361,"35.86166","104.195397"
"China",2020-02-02,15892,16283,16674,909,17211,426,"35.86166","104.195397"
"China",2020-02-03,18790,19252,19714,1074,20448,492,"35.86166","104.195397"
"China",2020-02-04,22036,22578,23120,1260,24320,564,"35.86166","104.195397"
"China",2020-02-05,25612,26242,26872,1464,28047,637,"35.86166","104.195397"
"China",2020-02-06,29477,30203,30929,1685,31207,723,"35.86166","104.195397"
"China",2020-02-07,33573,34399,35225,1920,34625,812,"35.86166","104.195397"
"China",2020-02-08,37818,38749,39680,2162,37232,909,"35.86166","104.195397"
"China",2020-02-09,42123,43160,44197,2408,40206,1017,"35.86166","104.195397"
"China",2020-02-10,46391,47533,48675,2652,42696,1114,"35.86166","104.195397"
"China",2020-02-11,50528,51772,53016,2889,44724,1368,"35.86166","104.195397"
"China",2020-02-12,54453,55793,57133,3113,59865,1381,"35.86166","104.195397"
"China",2020-02-13,58098,59528,60958,3322,64021,1524,"35.86166","104.195397"
"China",2020-02-14,61422,62934,64446,3512,66559,1666,"35.86166","104.195397"
"China",2020-02-15,64400,65985,67570,3682,68566,1771,"35.86166","104.195397"
"China",2020-02-16,67025,68675,70325,3832,70618,1869,"35.86166","104.195397"
"China",2020-02-17,69309,71015,72721,3963,72508,2008,"35.86166","104.195397"
"China",2020-02-18,71271,73025,74779,4075,74258,2120,"35.86166","104.195397"
"China",2020-02-19,72940,74735,76530,4170,74652,2238,"35.86166","104.195397"
"China",2020-02-20,74347,76177,78007,4251,75543,2347,"35.86166","104.195397"
"China",2020-02-21,75524,77383,79242,4318,76369,2445,"35.86166","104.195397"
"China",2020-02-22,76503,78386,80269,4374,77016,2595,"35.86166","104.195397"
"China",2020-02-23,77313,79216,81119,4420,77234,2665,"35.86166","104.195397"
"China",2020-02-24,77980,79899,81818,4459,77749,2717,"35.86166","104.195397"
"China",2020-02-25,78527,80460,82393,4490,78159,2746,"35.86166","104.195397"
"China",2020-02-26,78975,80919,82863,4515,78598,2790,"35.86166","104.195397"
"China",2020-02-27,79341,81294,83247,4536,78927,2837,"35.86166","104.195397"
"China",2020-02-28,79640,81600,83560,4553,79355,2872,"35.86166","104.195397"
"China",2020-02-29,79882,81848,83814,4567,79929,2914,"35.86166","104.195397"
"China",2020-03-01,80079,82050,84021,4579,80134,2946,"35.86166","104.195397"
"China",2020-03-02,80239,82214,84189,4588,80261,2983,"35.86166","104.195397"
"China",2020-03-03,80369,82347,84325,4595,80380,3014,"35.86166","104.195397"
"China",2020-03-04,80474,82455,84436,4601,80497,3044,"35.86166","104.195397"
"China",2020-03-05,80559,82542,84525,4606,80667,3072,"35.86166","104.195397"
"China",2020-03-06,80629,82613,84597,4610,80768,3099,"35.86166","104.195397"
"China",2020-03-07,80684,82670,84656,4613,80814,3122,"35.86166","104.195397"
"China",2020-03-08,80730,82717,84704,4616,80859,3139,"35.86166","104.195397"
"China",2020-03-09,80766,82754,84742,4618,80879,3161,"35.86166","104.195397"
"China",2020-03-10,80795,82784,84773,4620,80908,3172,"35.86166","104.195397"
"China",2020-03-11,80820,82809,84798,4621,80932,3179,"35.86166","104.195397"
"China",2020-03-12,80839,82829,84819,4622,80954,3194,"35.86166","104.195397"
"China",2020-03-13,80855,82845,84835,4623,80973,3203,"35.86166","104.195397"
"China",2020-03-14,80868,82858,84848,4624,80995,3216,"35.86166","104.195397"
"China",2020-03-15,80877,82868,84859,4624,81020,3225,"35.86166","104.195397"
"China",2020-03-16,80885,82876,84867,4625,81063,3241,"35.86166","104.195397"
"China",2020-03-17,80892,82883,84874,4625,81086,3249,"35.86166","104.195397"
"China",2020-03-18,80898,82889,84880,4625,81130,3253,"35.86166","104.195397"
"China",2020-03-19,80902,82893,84884,4626,81229,3259,"35.86166","104.195397"
"China",2020-03-20,80906,82897,84888,4626,81281,3265,"35.86166","104.195397"
"China",2020-03-21,80909,82900,84891,4626,81346,3274,"35.86166","104.195397"
"China",2020-03-22,80911,82902,84893,4626,81484,3281,"35.86166","104.195397"
"China",2020-03-23,80913,82904,84895,4626,81553,3285,"35.86166","104.195397"
"China",2020-03-24,80914,82906,84898,4626,81631,3291,"35.86166","104.195397"
"China",2020-03-25,80915,82907,84899,4626,81733,3296,"35.86166","104.195397"
"China",2020-03-26,80916,82908,84900,4626,81827,3299,"35.86166","104.195397"
"China",2020-03-27,80917,82909,84901,4627,81946,3304,"35.86166","104.195397"
"China",2020-03-28,80917,82909,84901,4627,82059,3306,"35.86166","104.195397"
"China",2020-03-29,80918,82910,84902,4627,82157,3309,"35.86166","104.195397"
"China",2020-03-30,80918,82910,84902,4627,82241,3310,"35.86166","104.195397"
"China",2020-03-31,80919,82911,84903,4627,82295,3316,"35.86166","104.195397"
"China",2020-04-01,80919,82911,84903,4627,82395,3326,"35.86166","104.195397"
"China",2020-04-02,80919,82911,84903,4627,82465,3330,"35.86166","104.195397"
"China",2020-04-03,80919,82911,84903,4627,82527,3333,"35.86166","104.195397"
"China",2020-04-04,80919,82911,84903,4627,82575,3335,"35.86166","104.195397"
"China",2020-04-05,80920,82912,84904,4627,82642,3335,"35.86166","104.195397"
"China",2020-04-06,80920,82912,84904,4627,82698,3337,"35.86166","104.195397"
"China",2020-04-07,80920,82912,84904,4627,82784,3339,"35.86166","104.195397"
"China",2020-04-08,80920,82912,84904,4627,82870,3340,"35.86166","104.195397"
"China",2020-04-09,80920,82912,84904,4627,82925,3343,"35.86166","104.195397"
"China",2020-04-10,80920,82912,84904,4627,83004,3343,"35.86166","104.195397"
"China",2020-04-11,80920,82912,84904,4627,83097,3345,"35.86166","104.195397"
"China",2020-04-12,80920,82912,84904,4627,83209,3345,"35.86166","104.195397"
"China",2020-04-13,80920,82912,84904,4627,83303,3346,"35.86166","104.195397"
"China",2020-04-14,80920,82912,84904,4627,83352,3346,"35.86166","104.195397"
"China",2020-04-15,80920,82912,84904,4627,83402,4636,"35.86166","104.195397"
"China",2020-04-16,80920,82912,84904,4627,83754,4636,"35.86166","104.195397"
"China",2020-04-17,80920,82912,84904,4627,83785,4636,"35.86166","104.195397"
