"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
171,2020-06-19,32,37,42,35
172,2020-06-20,34,39,44,37
173,2020-06-21,36,41,46,37
174,2020-06-22,38,43,48,37
175,2020-06-23,39,44,49,38
176,2020-06-24,40,46,52,48
177,2020-06-25,42,48,54,51
178,2020-06-26,44,50,56,54
179,2020-06-27,45,51,57,54
180,2020-06-28,46,53,60,54
181,2020-06-29,48,55,62,55
182,2020-06-30,49,56,63,NA
183,2020-07-01,51,58,65,NA
184,2020-07-02,52,59,66,NA
185,2020-07-03,53,61,69,NA
186,2020-07-04,54,62,70,NA
187,2020-07-05,55,63,71,NA
188,2020-07-06,56,64,72,NA
189,2020-07-07,58,66,74,NA
190,2020-07-08,59,67,75,NA
191,2020-07-09,60,68,76,NA
