"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Cuba",2019-12-30,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2019-12-31,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-01,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-02,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-03,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-04,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-05,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-06,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-07,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-08,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-09,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-10,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-11,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-12,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-13,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-14,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-15,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-16,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-17,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-18,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-19,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-20,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-21,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-22,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-23,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-24,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-25,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-26,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-27,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-28,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-29,0,0,0,0,0,NA,"21.521757","0"
"Cuba",2020-01-30,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-01-31,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-01,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-02,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-03,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-04,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-05,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-06,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-07,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-08,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-09,1,1,1,0,0,NA,"21.521757","0"
"Cuba",2020-02-10,2,2,2,0,0,NA,"21.521757","0"
"Cuba",2020-02-11,2,2,2,0,0,NA,"21.521757","0"
"Cuba",2020-02-12,2,2,2,0,0,NA,"21.521757","0"
"Cuba",2020-02-13,2,2,2,0,0,NA,"21.521757","0"
"Cuba",2020-02-14,2,2,2,0,0,NA,"21.521757","0"
"Cuba",2020-02-15,3,3,3,0,0,NA,"21.521757","0"
"Cuba",2020-02-16,3,3,3,0,0,NA,"21.521757","0"
"Cuba",2020-02-17,3,3,3,0,0,NA,"21.521757","0"
"Cuba",2020-02-18,4,4,4,0,0,NA,"21.521757","0"
"Cuba",2020-02-19,4,4,4,0,0,NA,"21.521757","0"
"Cuba",2020-02-20,4,4,4,0,0,NA,"21.521757","0"
"Cuba",2020-02-21,5,5,5,0,0,NA,"21.521757","0"
"Cuba",2020-02-22,5,5,5,0,0,NA,"21.521757","0"
"Cuba",2020-02-23,6,6,6,0,0,NA,"21.521757","0"
"Cuba",2020-02-24,6,7,8,0,0,NA,"21.521757","0"
"Cuba",2020-02-25,6,7,8,0,0,NA,"21.521757","0"
"Cuba",2020-02-26,7,8,9,0,0,NA,"21.521757","0"
"Cuba",2020-02-27,8,9,10,0,0,NA,"21.521757","0"
"Cuba",2020-02-28,9,10,11,0,0,NA,"21.521757","0"
"Cuba",2020-02-29,10,11,12,0,0,NA,"21.521757","0"
"Cuba",2020-03-01,11,12,13,0,0,NA,"21.521757","0"
"Cuba",2020-03-02,12,13,14,0,0,NA,"21.521757","0"
"Cuba",2020-03-03,14,15,16,1,0,NA,"21.521757","0"
"Cuba",2020-03-04,15,16,17,1,0,NA,"21.521757","0"
"Cuba",2020-03-05,17,18,19,1,0,NA,"21.521757","0"
"Cuba",2020-03-06,19,20,21,1,0,NA,"21.521757","0"
"Cuba",2020-03-07,20,22,24,1,0,NA,"21.521757","0"
"Cuba",2020-03-08,23,25,27,1,0,NA,"21.521757","0"
"Cuba",2020-03-09,25,27,29,1,0,NA,"21.521757","0"
"Cuba",2020-03-10,28,30,32,1,0,0,"21.521757","0"
"Cuba",2020-03-11,31,33,35,1,3,NA,"21.521757","0"
"Cuba",2020-03-12,34,37,40,1,0,0,"21.521757","0"
"Cuba",2020-03-13,38,41,44,2,4,0,"21.521757","0"
"Cuba",2020-03-14,42,45,48,2,4,NA,"21.521757","0"
"Cuba",2020-03-15,46,50,54,2,0,NA,"21.521757","0"
"Cuba",2020-03-16,51,55,59,2,0,0,"21.521757","0"
"Cuba",2020-03-17,56,61,66,2,7,1,"21.521757","0"
"Cuba",2020-03-18,62,67,72,3,11,1,"21.521757","0"
"Cuba",2020-03-19,68,74,80,3,16,1,"21.521757","0"
"Cuba",2020-03-20,76,82,88,3,21,1,"21.521757","0"
"Cuba",2020-03-21,83,90,97,3,25,1,"21.521757","0"
"Cuba",2020-03-22,92,99,106,4,35,1,"21.521757","0"
"Cuba",2020-03-23,102,110,118,4,40,1,"21.521757","0"
"Cuba",2020-03-24,112,121,130,5,48,1,"21.521757","0"
"Cuba",2020-03-25,123,133,143,5,57,2,"21.521757","0"
"Cuba",2020-03-26,135,146,157,5,67,2,"21.521757","0"
"Cuba",2020-03-27,149,161,173,6,80,3,"21.521757","0"
"Cuba",2020-03-28,164,177,190,7,119,3,"21.521757","0"
"Cuba",2020-03-29,179,194,209,7,139,4,"21.521757","0"
"Cuba",2020-03-30,197,213,229,8,170,6,"21.521757","0"
"Cuba",2020-03-31,216,233,250,9,186,6,"21.521757","0"
"Cuba",2020-04-01,236,255,274,10,212,6,"21.521757","0"
"Cuba",2020-04-02,258,279,300,10,233,6,"21.521757","0"
"Cuba",2020-04-03,282,305,328,11,269,6,"21.521757","0"
"Cuba",2020-04-04,307,332,357,12,288,8,"21.521757","0"
"Cuba",2020-04-05,335,362,389,14,320,9,"21.521757","0"
"Cuba",2020-04-06,364,394,424,15,350,11,"21.521757","0"
"Cuba",2020-04-07,395,427,459,16,396,12,"21.521757","0"
"Cuba",2020-04-08,428,463,498,17,457,15,"21.521757","0"
"Cuba",2020-04-09,463,501,539,19,515,15,"21.521757","0"
