"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Djibouti",2019-12-30,1,1,1,0,0,NA,"11.825138","42.590275"
"Djibouti",2019-12-31,1,1,1,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-01,1,1,1,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-02,1,1,1,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-03,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-04,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-05,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-06,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-07,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-08,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-09,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-10,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-11,2,2,2,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-12,2,3,4,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-13,2,3,4,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-14,2,3,4,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-15,2,3,4,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-16,2,3,4,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-17,2,3,4,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-18,2,3,4,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-19,3,4,5,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-20,3,4,5,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-21,3,4,5,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-22,3,4,5,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-23,4,5,6,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-24,4,5,6,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-25,4,5,6,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-26,4,5,6,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-27,5,6,7,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-28,5,6,7,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-29,5,6,7,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-30,5,7,9,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-01-31,5,7,9,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-01,5,7,9,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-02,6,8,10,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-03,6,8,10,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-04,7,9,11,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-05,7,9,11,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-06,8,10,12,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-07,8,10,12,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-08,9,11,13,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-09,9,11,13,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-10,9,12,15,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-11,10,13,16,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-12,10,13,16,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-13,11,14,17,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-14,12,15,18,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-15,12,16,20,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-16,13,17,21,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-17,14,18,22,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-18,15,19,23,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-19,16,20,24,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-20,16,21,26,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-21,17,22,27,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-22,18,23,28,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-23,19,24,29,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-24,20,26,32,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-25,21,27,33,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-26,23,29,35,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-27,23,30,37,0,0,NA,"11.825138","42.590275"
"Djibouti",2020-02-28,25,32,39,0,0,NA,"11.825138","42.590275"
