"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Dominican.Republic",2019-12-30,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2019-12-31,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-01,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-02,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-03,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-04,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-05,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-06,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-07,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-08,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-09,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-10,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-11,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-12,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-13,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-14,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-15,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-16,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-17,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-18,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-19,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-20,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-21,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-22,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-23,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-24,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-25,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-26,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-27,0,0,0,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-28,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-29,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-30,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-01-31,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-01,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-02,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-03,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-04,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-05,1,1,1,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-06,2,2,2,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-07,2,2,2,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-08,2,2,2,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-09,2,2,2,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-10,2,2,2,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-11,3,3,3,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-12,3,3,3,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-13,4,4,4,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-14,4,4,4,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-15,5,5,5,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-16,5,5,5,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-17,6,6,6,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-18,6,7,8,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-19,6,7,8,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-20,7,8,9,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-21,8,9,10,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-22,10,11,12,0,0,0,"18.735693","0"
"Dominican.Republic",2020-02-23,11,12,13,1,0,0,"18.735693","0"
"Dominican.Republic",2020-02-24,13,14,15,1,0,0,"18.735693","0"
"Dominican.Republic",2020-02-25,14,15,16,1,0,0,"18.735693","0"
"Dominican.Republic",2020-02-26,16,17,18,1,0,0,"18.735693","0"
"Dominican.Republic",2020-02-27,17,19,21,1,0,0,"18.735693","0"
"Dominican.Republic",2020-02-28,20,22,24,1,0,0,"18.735693","0"
"Dominican.Republic",2020-02-29,23,25,27,1,0,0,"18.735693","0"
"Dominican.Republic",2020-03-01,26,28,30,1,1,NA,"18.735693","0"
"Dominican.Republic",2020-03-02,29,32,35,1,0,NA,"18.735693","0"
"Dominican.Republic",2020-03-03,33,36,39,2,0,NA,"18.735693","0"
"Dominican.Republic",2020-03-04,37,40,43,2,0,NA,"18.735693","0"
"Dominican.Republic",2020-03-05,42,46,50,2,0,0,"18.735693","0"
"Dominican.Republic",2020-03-06,47,51,55,2,2,NA,"18.735693","0"
"Dominican.Republic",2020-03-07,53,58,63,3,0,NA,"18.735693","0"
"Dominican.Republic",2020-03-08,61,66,71,3,0,0,"18.735693","0"
"Dominican.Republic",2020-03-09,68,74,80,3,5,NA,"18.735693","0"
"Dominican.Republic",2020-03-10,76,83,90,4,0,NA,"18.735693","0"
"Dominican.Republic",2020-03-11,86,94,102,4,0,NA,"18.735693","0"
"Dominican.Republic",2020-03-12,98,106,114,5,0,0,"18.735693","0"
"Dominican.Republic",2020-03-13,110,120,130,5,11,0,"18.735693","0"
"Dominican.Republic",2020-03-14,124,135,146,6,11,0,"18.735693","0"
"Dominican.Republic",2020-03-15,140,152,164,7,11,0,"18.735693","0"
"Dominican.Republic",2020-03-16,157,171,185,7,11,0,"18.735693","0"
"Dominican.Republic",2020-03-17,178,193,208,8,11,0,"18.735693","0"
"Dominican.Republic",2020-03-18,200,217,234,9,21,0,"18.735693","0"
"Dominican.Republic",2020-03-19,225,245,265,11,21,2,"18.735693","0"
"Dominican.Republic",2020-03-20,253,275,297,12,34,3,"18.735693","0"
"Dominican.Republic",2020-03-21,284,309,334,13,112,3,"18.735693","0"
"Dominican.Republic",2020-03-22,320,348,376,15,202,3,"18.735693","0"
"Dominican.Republic",2020-03-23,360,391,422,17,245,6,"18.735693","0"
"Dominican.Republic",2020-03-24,403,438,473,19,312,10,"18.735693","0"
"Dominican.Republic",2020-03-25,453,492,531,21,392,10,"18.735693","0"
"Dominican.Republic",2020-03-26,507,551,595,24,488,20,"18.735693","0"
"Dominican.Republic",2020-03-27,568,617,666,27,581,28,"18.735693","0"
"Dominican.Republic",2020-03-28,635,690,745,30,719,39,"18.735693","0"
"Dominican.Republic",2020-03-29,709,771,833,33,859,42,"18.735693","0"
"Dominican.Republic",2020-03-30,791,860,929,37,901,51,"18.735693","0"
"Dominican.Republic",2020-03-31,881,958,1035,41,1109,57,"18.735693","0"
"Dominican.Republic",2020-04-01,981,1066,1151,46,1284,60,"18.735693","0"
"Dominican.Republic",2020-04-02,1089,1184,1279,51,1380,68,"18.735693","0"
"Dominican.Republic",2020-04-03,1207,1312,1417,57,1488,77,"18.735693","0"
"Dominican.Republic",2020-04-04,1335,1451,1567,63,1578,82,"18.735693","0"
"Dominican.Republic",2020-04-05,1474,1602,1730,69,1745,86,"18.735693","0"
"Dominican.Republic",2020-04-06,1623,1764,1905,76,1828,98,"18.735693","0"
"Dominican.Republic",2020-04-07,1782,1937,2092,84,1956,108,"18.735693","0"
"Dominican.Republic",2020-04-08,1952,2122,2292,92,2111,118,"18.735693","0"
"Dominican.Republic",2020-04-09,2132,2317,2502,100,2349,126,"18.735693","0"
"Dominican.Republic",2020-04-10,2321,2523,2725,109,2620,135,"18.735693","0"
"Dominican.Republic",2020-04-11,2519,2738,2957,118,2759,173,"18.735693","0"
"Dominican.Republic",2020-04-12,2725,2962,3199,128,2967,177,"18.735693","0"
"Dominican.Republic",2020-04-13,2938,3193,3448,138,3167,183,"18.735693","0"
"Dominican.Republic",2020-04-14,3156,3430,3704,148,3286,189,"18.735693","0"
"Dominican.Republic",2020-04-15,3379,3672,3965,159,3614,196,"18.735693","0"
"Dominican.Republic",2020-04-16,3602,3915,4228,169,3755,200,"18.735693","0"
"Dominican.Republic",2020-04-17,3828,4160,4492,180,4126,217,"18.735693","0"
"Dominican.Republic",2020-04-18,4051,4403,4755,190,4335,226,"18.735693","0"
"Dominican.Republic",2020-04-19,4272,4643,5014,200,4680,235,"18.735693","0"
"Dominican.Republic",2020-04-20,4489,4879,5269,211,4964,245,"18.735693","0"
"Dominican.Republic",2020-04-21,4701,5109,5517,221,5044,260,"18.735693","0"
"Dominican.Republic",2020-04-22,4906,5332,5758,230,5300,265,"18.735693","0"
"Dominican.Republic",2020-04-23,5102,5545,5988,239,5543,267,"18.735693","0"
"Dominican.Republic",2020-04-24,5290,5749,6208,248,5749,273,"18.735693","0"
"Dominican.Republic",2020-04-25,5468,5943,6418,257,5926,278,"18.735693","0"
"Dominican.Republic",2020-04-26,5636,6125,6614,264,6135,278,"18.735693","0"
"Dominican.Republic",2020-04-27,5793,6296,6799,272,6135,286,"18.735693","0"
"Dominican.Republic",2020-04-28,5940,6456,6972,279,6416,293,"18.735693","0"
"Dominican.Republic",2020-04-29,6076,6604,7132,285,6652,301,"18.735693","0"
"Dominican.Republic",2020-04-30,6203,6742,7281,291,6972,301,"18.735693","0"
"Dominican.Republic",2020-05-01,6319,6868,7417,297,NA,NA,"18.735693","0"
"Dominican.Republic",2020-05-02,6426,6984,7542,302,NA,NA,"18.735693","0"
"Dominican.Republic",2020-05-03,6523,7089,7655,306,NA,NA,"18.735693","0"
"Dominican.Republic",2020-05-04,6612,7186,7760,310,NA,NA,"18.735693","0"
"Dominican.Republic",2020-05-05,6692,7273,7854,314,NA,NA,"18.735693","0"
"Dominican.Republic",2020-05-06,6765,7353,7941,317,NA,NA,"18.735693","0"
"Dominican.Republic",2020-05-07,6831,7424,8017,321,NA,NA,"18.735693","0"
