"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
169,2020-06-17,5,5,5,83
170,2020-06-18,5,5,5,83
171,2020-06-19,5,5,5,83
172,2020-06-20,5,5,5,84
173,2020-06-21,5,5,5,84
174,2020-06-22,5,5,5,85
175,2020-06-23,5,5,5,96
176,2020-06-24,5,5,5,104
177,2020-06-25,5,5,5,109
178,2020-06-26,5,5,5,110
179,2020-06-27,5,5,5,110
180,2020-06-28,5,5,5,NA
181,2020-06-29,5,5,5,NA
182,2020-06-30,5,5,5,NA
183,2020-07-01,5,5,5,NA
184,2020-07-02,5,5,5,NA
185,2020-07-03,5,5,5,NA
186,2020-07-04,5,5,5,NA
187,2020-07-05,5,5,5,NA
188,2020-07-06,5,5,5,NA
189,2020-07-07,5,5,5,NA
