"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,1
2020-03-01,0,0,0,0,6
2020-03-02,0,0,0,0,7
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,10
2020-03-05,0,0,0,0,13
2020-03-06,0,0,0,0,0
2020-03-07,1,1,1,0,0
2020-03-08,1,1,1,0,14
2020-03-09,2,2,2,0,15
2020-03-10,3,3,3,0,17
2020-03-11,3,4,5,0,0
2020-03-12,6,7,8,0,0
2020-03-13,11,13,15,0,23
2020-03-14,18,21,24,1,28
2020-03-15,31,36,41,1,37
2020-03-16,52,60,68,1,58
2020-03-17,86,100,114,2,111
2020-03-18,140,162,184,4,168
2020-03-19,221,256,291,6,199
2020-03-20,336,389,442,9,426
2020-03-21,484,560,636,14,532
2020-03-22,653,756,859,18,789
2020-03-23,822,951,1080,23,981
2020-03-24,969,1122,1275,27,1082
2020-03-25,1084,1255,1426,30,1211
2020-03-26,1165,1349,1533,33,1403
2020-03-27,1219,1411,1603,34,1403
2020-03-28,1253,1451,1649,35,NA
2020-03-29,1274,1475,1676,36,NA
2020-03-30,1287,1490,1693,36,NA
2020-03-31,1294,1498,1702,36,NA
2020-04-01,1299,1504,1709,36,NA
2020-04-02,1302,1507,1712,37,NA
2020-04-03,1303,1508,1713,37,NA
