"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"France",2019-12-30,4,4,4,1,0,0,"46.227638","2.213749"
"France",2019-12-31,5,5,5,1,0,0,"46.227638","2.213749"
"France",2020-01-01,6,6,6,1,0,0,"46.227638","2.213749"
"France",2020-01-02,6,6,6,1,0,0,"46.227638","2.213749"
"France",2020-01-03,7,7,7,1,0,0,"46.227638","2.213749"
"France",2020-01-04,7,8,9,1,0,0,"46.227638","2.213749"
"France",2020-01-05,7,8,9,1,0,0,"46.227638","2.213749"
"France",2020-01-06,8,9,10,2,0,0,"46.227638","2.213749"
"France",2020-01-07,9,10,11,2,0,0,"46.227638","2.213749"
"France",2020-01-08,10,11,12,2,0,0,"46.227638","2.213749"
"France",2020-01-09,12,13,14,2,0,0,"46.227638","2.213749"
"France",2020-01-10,13,14,15,3,0,0,"46.227638","2.213749"
"France",2020-01-11,15,16,17,3,0,0,"46.227638","2.213749"
"France",2020-01-12,16,17,18,3,0,0,"46.227638","2.213749"
"France",2020-01-13,18,19,20,4,0,0,"46.227638","2.213749"
"France",2020-01-14,21,22,23,4,0,0,"46.227638","2.213749"
"France",2020-01-15,22,24,26,4,0,0,"46.227638","2.213749"
"France",2020-01-16,25,27,29,5,0,0,"46.227638","2.213749"
"France",2020-01-17,28,30,32,6,0,0,"46.227638","2.213749"
"France",2020-01-18,31,33,35,6,0,0,"46.227638","2.213749"
"France",2020-01-19,34,36,38,7,0,0,"46.227638","2.213749"
"France",2020-01-20,37,40,43,7,0,0,"46.227638","2.213749"
"France",2020-01-21,42,45,48,8,0,0,"46.227638","2.213749"
"France",2020-01-22,47,50,53,9,0,0,"46.227638","2.213749"
"France",2020-01-23,51,55,59,10,0,0,"46.227638","2.213749"
"France",2020-01-24,57,61,65,11,3,0,"46.227638","2.213749"
"France",2020-01-25,63,68,73,13,3,0,"46.227638","2.213749"
"France",2020-01-26,71,76,81,14,3,0,"46.227638","2.213749"
"France",2020-01-27,78,84,90,16,3,0,"46.227638","2.213749"
"France",2020-01-28,87,93,99,17,4,0,"46.227638","2.213749"
"France",2020-01-29,97,104,111,19,5,0,"46.227638","2.213749"
"France",2020-01-30,107,115,123,21,6,0,"46.227638","2.213749"
"France",2020-01-31,119,128,137,24,6,0,"46.227638","2.213749"
"France",2020-02-01,132,142,152,26,6,0,"46.227638","2.213749"
"France",2020-02-02,146,157,168,29,6,0,"46.227638","2.213749"
"France",2020-02-03,163,175,187,33,6,0,"46.227638","2.213749"
"France",2020-02-04,181,194,207,36,6,0,"46.227638","2.213749"
"France",2020-02-05,200,215,230,40,6,0,"46.227638","2.213749"
"France",2020-02-06,223,239,255,45,6,0,"46.227638","2.213749"
"France",2020-02-07,248,266,284,50,11,0,"46.227638","2.213749"
"France",2020-02-08,275,295,315,55,11,0,"46.227638","2.213749"
"France",2020-02-09,305,327,349,61,11,0,"46.227638","2.213749"
"France",2020-02-10,338,363,388,68,11,0,"46.227638","2.213749"
"France",2020-02-11,376,403,430,75,11,0,"46.227638","2.213749"
