"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
"Georgia",2019-12-30,0,0,0,NA,0
"Georgia",2019-12-31,0,0,0,NA,0
"Georgia",2020-01-01,0,0,0,NA,0
"Georgia",2020-01-02,0,0,0,NA,0
"Georgia",2020-01-03,0,0,0,NA,0
"Georgia",2020-01-04,0,0,0,NA,0
"Georgia",2020-01-05,0,0,0,NA,0
"Georgia",2020-01-06,0,0,0,NA,0
"Georgia",2020-01-07,0,0,0,NA,0
"Georgia",2020-01-08,0,0,0,NA,0
"Georgia",2020-01-09,0,0,0,NA,0
"Georgia",2020-01-10,0,0,0,NA,0
"Georgia",2020-01-11,0,0,0,NA,0
"Georgia",2020-01-12,0,0,0,NA,0
"Georgia",2020-01-13,0,0,0,NA,0
"Georgia",2020-01-14,0,0,0,NA,0
"Georgia",2020-01-15,0,0,0,NA,0
"Georgia",2020-01-16,0,0,0,NA,0
"Georgia",2020-01-17,0,0,0,NA,0
"Georgia",2020-01-18,0,0,0,NA,0
"Georgia",2020-01-19,0,0,0,NA,0
"Georgia",2020-01-20,0,0,0,NA,0
"Georgia",2020-01-21,0,0,0,NA,0
"Georgia",2020-01-22,0,0,0,NA,0
"Georgia",2020-01-23,0,0,0,NA,0
"Georgia",2020-01-24,0,0,0,NA,0
"Georgia",2020-01-25,0,0,0,NA,0
"Georgia",2020-01-26,0,0,0,NA,0
"Georgia",2020-01-27,0,0,0,NA,0
"Georgia",2020-01-28,0,0,0,NA,0
"Georgia",2020-01-29,0,0,0,NA,0
"Georgia",2020-01-30,0,0,0,NA,0
"Georgia",2020-01-31,0,0,0,NA,0
"Georgia",2020-02-01,0,0,0,NA,0
"Georgia",2020-02-02,0,0,0,NA,0
"Georgia",2020-02-03,0,0,0,NA,0
"Georgia",2020-02-04,0,0,0,NA,0
"Georgia",2020-02-05,0,0,0,NA,0
"Georgia",2020-02-06,0,0,0,NA,0
"Georgia",2020-02-07,0,0,0,NA,0
"Georgia",2020-02-08,0,0,0,NA,0
"Georgia",2020-02-09,0,0,0,NA,0
"Georgia",2020-02-10,0,0,0,NA,0
"Georgia",2020-02-11,0,0,0,NA,0
"Georgia",2020-02-12,0,0,0,NA,0
"Georgia",2020-02-13,0,0,0,NA,0
"Georgia",2020-02-14,1,1,1,NA,0
"Georgia",2020-02-15,1,1,1,NA,0
"Georgia",2020-02-16,1,1,1,NA,0
"Georgia",2020-02-17,1,1,1,NA,0
"Georgia",2020-02-18,1,1,1,NA,0
"Georgia",2020-02-19,1,1,1,NA,0
"Georgia",2020-02-20,1,1,1,NA,0
"Georgia",2020-02-21,1,1,1,NA,0
"Georgia",2020-02-22,2,2,2,NA,0
"Georgia",2020-02-23,2,2,2,NA,0
"Georgia",2020-02-24,2,2,2,NA,0
"Georgia",2020-02-25,2,2,2,NA,0
"Georgia",2020-02-26,2,3,4,NA,1
"Georgia",2020-02-27,2,3,4,NA,1
"Georgia",2020-02-28,3,4,5,NA,2
"Georgia",2020-02-29,3,4,5,NA,3
"Georgia",2020-03-01,4,5,6,NA,3
"Georgia",2020-03-02,5,6,7,NA,0
"Georgia",2020-03-03,5,6,7,NA,0
"Georgia",2020-03-04,5,7,9,NA,3
"Georgia",2020-03-05,6,8,10,NA,9
"Georgia",2020-03-06,7,9,11,NA,0
"Georgia",2020-03-07,9,11,13,NA,12
"Georgia",2020-03-08,9,12,15,NA,13
"Georgia",2020-03-09,11,14,17,NA,15
"Georgia",2020-03-10,12,16,20,NA,23
"Georgia",2020-03-11,14,18,22,NA,24
"Georgia",2020-03-12,16,20,24,NA,25
"Georgia",2020-03-13,17,22,27,NA,30
"Georgia",2020-03-14,19,25,31,NA,30
"Georgia",2020-03-15,22,28,34,NA,30
"Georgia",2020-03-16,24,31,38,NA,33
"Georgia",2020-03-17,27,35,43,NA,34
"Georgia",2020-03-18,30,39,48,NA,34
"Georgia",2020-03-19,33,43,53,NA,40
"Georgia",2020-03-20,37,47,57,NA,43
"Georgia",2020-03-21,40,52,64,NA,49
"Georgia",2020-03-22,44,57,70,NA,54
"Georgia",2020-03-23,48,62,76,NA,61
"Georgia",2020-03-24,52,67,82,NA,70
"Georgia",2020-03-25,56,72,88,NA,73
"Georgia",2020-03-26,61,78,95,NA,79
"Georgia",2020-03-27,65,83,101,NA,81
"Georgia",2020-03-28,68,88,108,NA,90
"Georgia",2020-03-29,72,93,114,NA,NA
"Georgia",2020-03-30,76,98,120,NA,NA
"Georgia",2020-03-31,80,103,126,NA,NA
"Georgia",2020-04-01,83,107,131,NA,NA
"Georgia",2020-04-02,86,111,136,NA,NA
"Georgia",2020-04-03,89,115,141,NA,NA
"Georgia",2020-04-04,93,119,145,NA,NA
