"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
163,2020-06-11,7120,7878,8636,7657
164,2020-06-12,7614,8424,9234,7846
165,2020-06-13,8143,9009,9875,7940
166,2020-06-14,8708,9634,10560,7944
167,2020-06-15,9312,10303,11294,10182
168,2020-06-16,9959,11018,12077,11264
169,2020-06-17,10649,11782,12915,12236
170,2020-06-18,11388,12600,13812,13304
171,2020-06-19,12178,13474,14770,14027
172,2020-06-20,13023,14409,15795,14880
173,2020-06-21,13927,15409,16891,15619
174,2020-06-22,14894,16478,18062,NA
175,2020-06-23,15927,17621,19315,NA
176,2020-06-24,17031,18843,20655,NA
177,2020-06-25,18212,20150,22088,NA
178,2020-06-26,19476,21548,23620,NA
179,2020-06-27,20827,23043,25259,NA
180,2020-06-28,22272,24641,27010,NA
181,2020-06-29,23816,26350,28884,NA
182,2020-06-30,25468,28177,30886,NA
183,2020-07-01,27234,30131,33028,NA
