"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Greece",2019-12-30,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2019-12-31,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-01,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-02,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-03,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-04,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-05,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-06,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-07,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-08,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-09,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-10,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-11,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-12,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-13,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-14,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-15,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-16,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-17,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-18,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-19,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-20,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-21,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-22,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-23,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-24,0,0,0,0,0,0,"39.074208","21.824312"
"Greece",2020-01-25,1,1,1,0,0,0,"39.074208","21.824312"
"Greece",2020-01-26,1,1,1,0,0,0,"39.074208","21.824312"
"Greece",2020-01-27,1,1,1,0,0,0,"39.074208","21.824312"
"Greece",2020-01-28,1,1,1,0,0,0,"39.074208","21.824312"
"Greece",2020-01-29,1,1,1,0,0,0,"39.074208","21.824312"
"Greece",2020-01-30,1,1,1,0,0,0,"39.074208","21.824312"
"Greece",2020-01-31,1,1,1,0,0,0,"39.074208","21.824312"
"Greece",2020-02-01,1,1,1,0,0,0,"39.074208","21.824312"
"Greece",2020-02-02,2,2,2,0,0,0,"39.074208","21.824312"
"Greece",2020-02-03,2,2,2,0,0,0,"39.074208","21.824312"
"Greece",2020-02-04,2,2,2,0,0,0,"39.074208","21.824312"
"Greece",2020-02-05,2,2,2,0,0,0,"39.074208","21.824312"
"Greece",2020-02-06,3,3,3,0,0,0,"39.074208","21.824312"
"Greece",2020-02-07,3,3,3,0,0,0,"39.074208","21.824312"
"Greece",2020-02-08,3,3,3,0,0,0,"39.074208","21.824312"
"Greece",2020-02-09,4,4,4,0,0,0,"39.074208","21.824312"
"Greece",2020-02-10,4,4,4,0,0,0,"39.074208","21.824312"
"Greece",2020-02-11,5,5,5,0,0,0,"39.074208","21.824312"
"Greece",2020-02-12,6,6,6,0,0,0,"39.074208","21.824312"
"Greece",2020-02-13,6,6,6,0,0,0,"39.074208","21.824312"
"Greece",2020-02-14,7,7,7,0,0,0,"39.074208","21.824312"
"Greece",2020-02-15,8,8,8,0,0,0,"39.074208","21.824312"
"Greece",2020-02-16,8,9,10,0,0,0,"39.074208","21.824312"
"Greece",2020-02-17,10,11,12,1,0,0,"39.074208","21.824312"
"Greece",2020-02-18,11,12,13,1,0,0,"39.074208","21.824312"
"Greece",2020-02-19,13,14,15,1,0,0,"39.074208","21.824312"
"Greece",2020-02-20,14,15,16,1,0,0,"39.074208","21.824312"
"Greece",2020-02-21,16,17,18,1,0,0,"39.074208","21.824312"
"Greece",2020-02-22,19,20,21,1,0,0,"39.074208","21.824312"
"Greece",2020-02-23,21,22,23,1,0,0,"39.074208","21.824312"
"Greece",2020-02-24,25,26,27,1,0,0,"39.074208","21.824312"
"Greece",2020-02-25,27,29,31,2,0,0,"39.074208","21.824312"
"Greece",2020-02-26,31,33,35,2,1,0,"39.074208","21.824312"
"Greece",2020-02-27,35,37,39,2,3,0,"39.074208","21.824312"
"Greece",2020-02-28,40,42,44,2,4,0,"39.074208","21.824312"
"Greece",2020-02-29,45,48,51,3,7,0,"39.074208","21.824312"
"Greece",2020-03-01,51,54,57,3,7,NA,"39.074208","21.824312"
"Greece",2020-03-02,58,61,64,3,0,NA,"39.074208","21.824312"
"Greece",2020-03-03,66,70,74,4,0,0,"39.074208","21.824312"
"Greece",2020-03-04,74,79,84,4,10,0,"39.074208","21.824312"
"Greece",2020-03-05,84,89,94,5,32,0,"39.074208","21.824312"
"Greece",2020-03-06,95,101,107,6,45,0,"39.074208","21.824312"
"Greece",2020-03-07,107,114,121,6,66,0,"39.074208","21.824312"
"Greece",2020-03-08,121,128,135,7,73,0,"39.074208","21.824312"
"Greece",2020-03-09,137,145,153,8,84,0,"39.074208","21.824312"
"Greece",2020-03-10,154,163,172,9,90,1,"39.074208","21.824312"
"Greece",2020-03-11,173,184,195,10,99,1,"39.074208","21.824312"
"Greece",2020-03-12,195,207,219,11,133,1,"39.074208","21.824312"
"Greece",2020-03-13,220,233,246,13,190,3,"39.074208","21.824312"
"Greece",2020-03-14,246,261,276,14,228,4,"39.074208","21.824312"
"Greece",2020-03-15,276,293,310,16,331,4,"39.074208","21.824312"
"Greece",2020-03-16,308,327,346,18,352,5,"39.074208","21.824312"
"Greece",2020-03-17,345,366,387,20,387,5,"39.074208","21.824312"
"Greece",2020-03-18,384,407,430,22,418,5,"39.074208","21.824312"
"Greece",2020-03-19,427,453,479,25,464,8,"39.074208","21.824312"
"Greece",2020-03-20,474,503,532,28,495,13,"39.074208","21.824312"
"Greece",2020-03-21,525,557,589,31,530,15,"39.074208","21.824312"
"Greece",2020-03-22,579,614,649,34,624,17,"39.074208","21.824312"
"Greece",2020-03-23,637,676,715,37,695,20,"39.074208","21.824312"
"Greece",2020-03-24,700,742,784,41,743,22,"39.074208","21.824312"
"Greece",2020-03-25,765,811,857,45,821,26,"39.074208","21.824312"
"Greece",2020-03-26,834,884,934,49,892,28,"39.074208","21.824312"
"Greece",2020-03-27,904,959,1014,53,966,32,"39.074208","21.824312"
"Greece",2020-03-28,979,1038,1097,57,1061,38,"39.074208","21.824312"
"Greece",2020-03-29,1054,1118,1182,62,1156,43,"39.074208","21.824312"
"Greece",2020-03-30,1132,1200,1268,66,1212,49,"39.074208","21.824312"
"Greece",2020-03-31,1209,1282,1355,71,1314,50,"39.074208","21.824312"
"Greece",2020-04-01,1287,1365,1443,75,1375,53,"39.074208","21.824312"
"Greece",2020-04-02,1364,1447,1530,80,1514,59,"39.074208","21.824312"
"Greece",2020-04-03,1441,1528,1615,84,1613,68,"39.074208","21.824312"
"Greece",2020-04-04,1515,1607,1699,89,1673,73,"39.074208","21.824312"
"Greece",2020-04-05,1588,1684,1780,93,1735,79,"39.074208","21.824312"
"Greece",2020-04-06,1658,1758,1858,97,1755,81,"39.074208","21.824312"
"Greece",2020-04-07,1724,1828,1932,101,1832,83,"39.074208","21.824312"
"Greece",2020-04-08,1787,1895,2003,105,1884,86,"39.074208","21.824312"
"Greece",2020-04-09,1846,1958,2070,108,1955,90,"39.074208","21.824312"
"Greece",2020-04-10,1903,2018,2133,111,2011,93,"39.074208","21.824312"
"Greece",2020-04-11,1955,2073,2191,114,2081,98,"39.074208","21.824312"
"Greece",2020-04-12,2003,2124,2245,117,2114,99,"39.074208","21.824312"
"Greece",2020-04-13,2047,2171,2295,120,2145,101,"39.074208","21.824312"
"Greece",2020-04-14,2089,2215,2341,122,2170,102,"39.074208","21.824312"
"Greece",2020-04-15,2125,2254,2383,124,2192,105,"39.074208","21.824312"
"Greece",2020-04-16,2159,2290,2421,126,2207,105,"39.074208","21.824312"
"Greece",2020-04-17,2190,2323,2456,128,2207,105,"39.074208","21.824312"
"Greece",2020-04-18,2218,2352,2486,130,2207,110,"39.074208","21.824312"
"Greece",2020-04-19,2243,2379,2515,131,2235,116,"39.074208","21.824312"
"Greece",2020-04-20,2266,2403,2540,133,2245,121,"39.074208","21.824312"
"Greece",2020-04-21,2286,2424,2562,134,2401,121,"39.074208","21.824312"
"Greece",2020-04-22,2304,2444,2584,135,2408,125,"39.074208","21.824312"
"Greece",2020-04-23,2321,2461,2601,136,2463,130,"39.074208","21.824312"
"Greece",2020-04-24,2335,2476,2617,137,2490,130,"39.074208","21.824312"
"Greece",2020-04-25,2348,2490,2632,137,2506,130,"39.074208","21.824312"
"Greece",2020-04-26,2359,2502,2645,138,2506,136,"39.074208","21.824312"
"Greece",2020-04-27,2370,2513,2656,139,2534,136,"39.074208","21.824312"
"Greece",2020-04-28,2378,2522,2666,139,2534,139,"39.074208","21.824312"
"Greece",2020-04-29,2387,2531,2675,140,2576,140,"39.074208","21.824312"
"Greece",2020-04-30,2393,2538,2683,140,2591,140,"39.074208","21.824312"
"Greece",2020-05-01,2400,2545,2690,140,2591,143,"39.074208","21.824312"
"Greece",2020-05-02,2405,2551,2697,141,2620,144,"39.074208","21.824312"
"Greece",2020-05-03,2410,2556,2702,141,2626,146,"39.074208","21.824312"
"Greece",2020-05-04,2415,2561,2707,141,2632,146,"39.074208","21.824312"
"Greece",2020-05-05,2419,2565,2711,142,2642,147,"39.074208","21.824312"
"Greece",2020-05-06,2421,2568,2715,142,2663,147,"39.074208","21.824312"
"Greece",2020-05-07,2425,2572,2719,142,NA,NA,"39.074208","21.824312"
"Greece",2020-05-08,2427,2574,2721,142,NA,NA,"39.074208","21.824312"
"Greece",2020-05-09,2430,2577,2724,142,NA,NA,"39.074208","21.824312"
"Greece",2020-05-10,2432,2579,2726,142,NA,NA,"39.074208","21.824312"
"Greece",2020-05-11,2434,2581,2728,142,NA,NA,"39.074208","21.824312"
"Greece",2020-05-12,2436,2583,2730,143,NA,NA,"39.074208","21.824312"
"Greece",2020-05-13,2437,2584,2731,143,NA,NA,"39.074208","21.824312"
