"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
175,2020-06-23,31,34,37,35
176,2020-06-24,31,34,37,35
177,2020-06-25,31,34,37,35
178,2020-06-26,31,34,37,35
179,2020-06-27,32,35,38,35
180,2020-06-28,32,35,38,35
181,2020-06-29,32,35,38,35
182,2020-06-30,32,35,38,37
183,2020-07-01,32,35,38,37
184,2020-07-02,32,35,38,37
185,2020-07-03,32,35,38,38
186,2020-07-04,32,35,38,NA
187,2020-07-05,32,35,38,NA
188,2020-07-06,32,35,38,NA
189,2020-07-07,32,35,38,NA
190,2020-07-08,32,35,38,NA
191,2020-07-09,32,35,38,NA
192,2020-07-10,32,35,38,NA
193,2020-07-11,32,35,38,NA
194,2020-07-12,32,35,38,NA
195,2020-07-13,32,35,38,NA
