"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Indonesia",2019-12-30,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2019-12-31,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-01,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-02,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-03,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-04,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-05,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-06,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-07,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-08,0,0,0,0,0,0,"0","113.921327"
"Indonesia",2020-01-09,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-10,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-11,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-12,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-13,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-14,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-15,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-16,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-17,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-18,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-19,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-20,1,1,1,0,0,0,"0","113.921327"
"Indonesia",2020-01-21,2,2,2,0,0,0,"0","113.921327"
"Indonesia",2020-01-22,2,2,2,0,0,0,"0","113.921327"
"Indonesia",2020-01-23,2,2,2,0,0,0,"0","113.921327"
"Indonesia",2020-01-24,2,2,2,0,0,0,"0","113.921327"
"Indonesia",2020-01-25,2,2,2,0,0,0,"0","113.921327"
"Indonesia",2020-01-26,3,3,3,0,0,0,"0","113.921327"
"Indonesia",2020-01-27,3,3,3,0,0,0,"0","113.921327"
"Indonesia",2020-01-28,3,3,3,0,0,0,"0","113.921327"
"Indonesia",2020-01-29,4,4,4,0,0,0,"0","113.921327"
"Indonesia",2020-01-30,4,4,4,0,0,0,"0","113.921327"
"Indonesia",2020-01-31,4,4,4,0,0,0,"0","113.921327"
"Indonesia",2020-02-01,5,5,5,0,0,0,"0","113.921327"
"Indonesia",2020-02-02,5,5,5,0,0,0,"0","113.921327"
"Indonesia",2020-02-03,6,6,6,0,0,0,"0","113.921327"
"Indonesia",2020-02-04,7,7,7,1,0,0,"0","113.921327"
"Indonesia",2020-02-05,7,7,7,1,0,0,"0","113.921327"
"Indonesia",2020-02-06,8,8,8,1,0,0,"0","113.921327"
"Indonesia",2020-02-07,8,9,10,1,0,0,"0","113.921327"
"Indonesia",2020-02-08,9,10,11,1,0,0,"0","113.921327"
"Indonesia",2020-02-09,10,11,12,1,0,0,"0","113.921327"
"Indonesia",2020-02-10,11,12,13,1,0,0,"0","113.921327"
"Indonesia",2020-02-11,12,13,14,1,0,0,"0","113.921327"
"Indonesia",2020-02-12,13,14,15,1,0,0,"0","113.921327"
"Indonesia",2020-02-13,15,16,17,1,0,0,"0","113.921327"
"Indonesia",2020-02-14,17,18,19,1,0,0,"0","113.921327"
"Indonesia",2020-02-15,18,19,20,1,0,0,"0","113.921327"
"Indonesia",2020-02-16,21,22,23,2,0,0,"0","113.921327"
"Indonesia",2020-02-17,23,24,25,2,0,0,"0","113.921327"
"Indonesia",2020-02-18,24,26,28,2,0,0,"0","113.921327"
"Indonesia",2020-02-19,27,29,31,2,0,0,"0","113.921327"
"Indonesia",2020-02-20,30,32,34,2,0,0,"0","113.921327"
"Indonesia",2020-02-21,33,35,37,3,0,0,"0","113.921327"
"Indonesia",2020-02-22,37,39,41,3,0,0,"0","113.921327"
"Indonesia",2020-02-23,40,43,46,3,0,0,"0","113.921327"
"Indonesia",2020-02-24,44,47,50,3,0,0,"0","113.921327"
"Indonesia",2020-02-25,49,52,55,4,0,0,"0","113.921327"
"Indonesia",2020-02-26,54,58,62,4,0,0,"0","113.921327"
"Indonesia",2020-02-27,60,64,68,5,0,0,"0","113.921327"
"Indonesia",2020-02-28,66,70,74,5,0,0,"0","113.921327"
"Indonesia",2020-02-29,72,77,82,6,0,0,"0","113.921327"
"Indonesia",2020-03-01,80,85,90,6,2,NA,"0","113.921327"
"Indonesia",2020-03-02,88,94,100,7,0,NA,"0","113.921327"
"Indonesia",2020-03-03,98,104,110,7,0,NA,"0","113.921327"
"Indonesia",2020-03-04,108,115,122,8,0,NA,"0","113.921327"
"Indonesia",2020-03-05,118,126,134,9,0,0,"0","113.921327"
"Indonesia",2020-03-06,130,139,148,10,4,NA,"0","113.921327"
"Indonesia",2020-03-07,144,154,164,11,0,0,"0","113.921327"
"Indonesia",2020-03-08,159,170,181,12,6,NA,"0","113.921327"
"Indonesia",2020-03-09,175,187,199,13,0,0,"0","113.921327"
"Indonesia",2020-03-10,193,206,219,15,19,1,"0","113.921327"
"Indonesia",2020-03-11,213,227,241,16,34,NA,"0","113.921327"
"Indonesia",2020-03-12,235,251,267,18,0,4,"0","113.921327"
"Indonesia",2020-03-13,259,276,293,20,69,4,"0","113.921327"
"Indonesia",2020-03-14,285,304,323,22,96,5,"0","113.921327"
"Indonesia",2020-03-15,314,335,356,24,117,5,"0","113.921327"
"Indonesia",2020-03-16,346,369,392,27,134,5,"0","113.921327"
"Indonesia",2020-03-17,381,406,431,29,172,5,"0","113.921327"
"Indonesia",2020-03-18,419,447,475,32,172,19,"0","113.921327"
"Indonesia",2020-03-19,461,492,523,35,227,25,"0","113.921327"
"Indonesia",2020-03-20,508,542,576,39,309,38,"0","113.921327"
"Indonesia",2020-03-21,559,596,633,43,450,48,"0","113.921327"
"Indonesia",2020-03-22,614,655,696,47,514,49,"0","113.921327"
"Indonesia",2020-03-23,675,720,765,52,579,55,"0","113.921327"
"Indonesia",2020-03-24,742,791,840,57,686,58,"0","113.921327"
"Indonesia",2020-03-25,814,868,922,62,790,78,"0","113.921327"
"Indonesia",2020-03-26,894,953,1012,69,893,87,"0","113.921327"
"Indonesia",2020-03-27,980,1045,1110,75,1046,102,"0","113.921327"
"Indonesia",2020-03-28,1075,1146,1217,82,1155,114,"0","113.921327"
"Indonesia",2020-03-29,1177,1255,1333,90,1285,122,"0","113.921327"
"Indonesia",2020-03-30,1289,1374,1459,99,1414,136,"0","113.921327"
"Indonesia",2020-03-31,1409,1502,1595,108,1528,157,"0","113.921327"
"Indonesia",2020-04-01,1540,1642,1744,118,1677,170,"0","113.921327"
"Indonesia",2020-04-02,1681,1792,1903,129,1790,181,"0","113.921327"
"Indonesia",2020-04-03,1834,1955,2076,141,1986,191,"0","113.921327"
"Indonesia",2020-04-04,1998,2130,2262,153,2092,198,"0","113.921327"
"Indonesia",2020-04-05,2174,2318,2462,167,2273,209,"0","113.921327"
"Indonesia",2020-04-06,2363,2519,2675,181,2491,221,"0","113.921327"
"Indonesia",2020-04-07,2565,2735,2905,197,2738,240,"0","113.921327"
"Indonesia",2020-04-08,2780,2964,3148,213,2956,280,"0","113.921327"
"Indonesia",2020-04-09,3009,3208,3407,231,3293,306,"0","113.921327"
"Indonesia",2020-04-10,3251,3466,3681,249,3512,327,"0","113.921327"
"Indonesia",2020-04-11,3507,3739,3971,269,3842,373,"0","113.921327"
"Indonesia",2020-04-12,3775,4025,4275,289,4241,399,"0","113.921327"
"Indonesia",2020-04-13,4057,4326,4595,311,4557,459,"0","113.921327"
"Indonesia",2020-04-14,4352,4640,4928,334,4839,469,"0","113.921327"
"Indonesia",2020-04-15,4658,4967,5276,357,5136,496,"0","113.921327"
"Indonesia",2020-04-16,4975,5305,5635,382,5516,520,"0","113.921327"
"Indonesia",2020-04-17,5303,5654,6005,407,5923,535,"0","113.921327"
"Indonesia",2020-04-18,5639,6012,6385,432,6248,582,"0","113.921327"
"Indonesia",2020-04-19,5982,6378,6774,459,6575,590,"0","113.921327"
"Indonesia",2020-04-20,6332,6751,7170,486,6760,616,"0","113.921327"
"Indonesia",2020-04-21,6684,7127,7570,513,7135,635,"0","113.921327"
"Indonesia",2020-04-22,7041,7507,7973,540,7418,647,"0","113.921327"
"Indonesia",2020-04-23,7398,7888,8378,567,7775,689,"0","113.921327"
"Indonesia",2020-04-24,7754,8268,8782,595,8211,720,"0","113.921327"
"Indonesia",2020-04-25,8108,8645,9182,622,8607,743,"0","113.921327"
"Indonesia",2020-04-26,8457,9017,9577,648,8882,765,"0","113.921327"
"Indonesia",2020-04-27,8801,9384,9967,675,9096,773,"0","113.921327"
"Indonesia",2020-04-28,9137,9742,10347,701,9511,784,"0","113.921327"
"Indonesia",2020-04-29,9465,10092,10719,726,9771,792,"0","113.921327"
"Indonesia",2020-04-30,9782,10430,11078,750,10118,800,"0","113.921327"
"Indonesia",2020-05-01,10090,10758,11426,774,10551,831,"0","113.921327"
"Indonesia",2020-05-02,10384,11072,11760,796,10843,845,"0","113.921327"
"Indonesia",2020-05-03,10668,11374,12080,818,11192,864,"0","113.921327"
"Indonesia",2020-05-04,10937,11661,12385,839,11587,872,"0","113.921327"
"Indonesia",2020-05-05,11194,11935,12676,858,12071,895,"0","113.921327"
"Indonesia",2020-05-06,11437,12194,12951,877,12438,930,"0","113.921327"
"Indonesia",2020-05-07,11665,12438,13211,895,12776,943,"0","113.921327"
"Indonesia",2020-05-08,11881,12668,13455,911,13112,943,"0","113.921327"
"Indonesia",2020-05-09,12084,12884,13684,927,NA,NA,"0","113.921327"
"Indonesia",2020-05-10,12273,13086,13899,941,NA,NA,"0","113.921327"
"Indonesia",2020-05-11,12450,13275,14100,955,NA,NA,"0","113.921327"
"Indonesia",2020-05-12,12615,13450,14285,967,NA,NA,"0","113.921327"
"Indonesia",2020-05-13,12767,13613,14459,979,NA,NA,"0","113.921327"
"Indonesia",2020-05-14,12910,13765,14620,990,NA,NA,"0","113.921327"
"Indonesia",2020-05-15,13041,13905,14769,1000,NA,NA,"0","113.921327"
