"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Iran",2019-12-30,495,579,663,28,0,0,"32.427908","53.688046"
"Iran",2019-12-31,520,608,696,29,0,0,"32.427908","53.688046"
"Iran",2020-01-01,546,638,730,30,0,0,"32.427908","53.688046"
"Iran",2020-01-02,572,669,766,32,0,0,"32.427908","53.688046"
"Iran",2020-01-03,601,702,803,34,0,0,"32.427908","53.688046"
"Iran",2020-01-04,631,737,843,35,0,0,"32.427908","53.688046"
"Iran",2020-01-05,661,773,885,37,0,0,"32.427908","53.688046"
"Iran",2020-01-06,694,811,928,39,0,0,"32.427908","53.688046"
"Iran",2020-01-07,728,851,974,41,0,0,"32.427908","53.688046"
"Iran",2020-01-08,764,893,1022,43,0,0,"32.427908","53.688046"
"Iran",2020-01-09,802,937,1072,45,0,0,"32.427908","53.688046"
"Iran",2020-01-10,840,982,1124,47,0,0,"32.427908","53.688046"
"Iran",2020-01-11,882,1031,1180,49,0,0,"32.427908","53.688046"
"Iran",2020-01-12,925,1081,1237,52,0,0,"32.427908","53.688046"
"Iran",2020-01-13,970,1134,1298,54,0,0,"32.427908","53.688046"
"Iran",2020-01-14,1018,1190,1362,57,0,0,"32.427908","53.688046"
"Iran",2020-01-15,1068,1248,1428,60,0,0,"32.427908","53.688046"
"Iran",2020-01-16,1121,1310,1499,63,0,0,"32.427908","53.688046"
"Iran",2020-01-17,1176,1374,1572,66,0,0,"32.427908","53.688046"
"Iran",2020-01-18,1233,1441,1649,69,0,0,"32.427908","53.688046"
"Iran",2020-01-19,1294,1512,1730,72,0,0,"32.427908","53.688046"
"Iran",2020-01-20,1357,1586,1815,76,0,0,"32.427908","53.688046"
"Iran",2020-01-21,1423,1663,1903,79,0,0,"32.427908","53.688046"
"Iran",2020-01-22,1493,1745,1997,83,0,0,"32.427908","53.688046"
"Iran",2020-01-23,1566,1830,2094,87,0,0,"32.427908","53.688046"
"Iran",2020-01-24,1642,1919,2196,92,0,0,"32.427908","53.688046"
"Iran",2020-01-25,1722,2013,2304,96,0,0,"32.427908","53.688046"
"Iran",2020-01-26,1806,2111,2416,101,0,0,"32.427908","53.688046"
"Iran",2020-01-27,1894,2214,2534,106,0,0,"32.427908","53.688046"
"Iran",2020-01-28,1987,2322,2657,111,0,0,"32.427908","53.688046"
"Iran",2020-01-29,2084,2435,2786,116,0,0,"32.427908","53.688046"
"Iran",2020-01-30,2185,2554,2923,122,0,0,"32.427908","53.688046"
"Iran",2020-01-31,2291,2678,3065,128,0,0,"32.427908","53.688046"
"Iran",2020-02-01,2403,2808,3213,134,0,0,"32.427908","53.688046"
"Iran",2020-02-02,2519,2944,3369,141,0,0,"32.427908","53.688046"
"Iran",2020-02-03,2641,3087,3533,148,0,0,"32.427908","53.688046"
"Iran",2020-02-04,2770,3237,3704,155,0,0,"32.427908","53.688046"
"Iran",2020-02-05,2904,3394,3884,162,0,0,"32.427908","53.688046"
"Iran",2020-02-06,3044,3558,4072,170,0,0,"32.427908","53.688046"
"Iran",2020-02-07,3192,3730,4268,178,0,0,"32.427908","53.688046"
"Iran",2020-02-08,3346,3910,4474,187,0,0,"32.427908","53.688046"
"Iran",2020-02-09,3507,4099,4691,196,0,0,"32.427908","53.688046"
"Iran",2020-02-10,3677,4297,4917,205,0,0,"32.427908","53.688046"
"Iran",2020-02-11,3854,4504,5154,215,0,0,"32.427908","53.688046"
"Iran",2020-02-12,4039,4720,5401,226,0,0,"32.427908","53.688046"
"Iran",2020-02-13,4233,4947,5661,236,0,0,"32.427908","53.688046"
"Iran",2020-02-14,4436,5184,5932,248,0,0,"32.427908","53.688046"
"Iran",2020-02-15,4648,5432,6216,260,0,0,"32.427908","53.688046"
"Iran",2020-02-16,4870,5692,6514,272,0,0,"32.427908","53.688046"
"Iran",2020-02-17,5103,5964,6825,285,0,0,"32.427908","53.688046"
"Iran",2020-02-18,5346,6248,7150,299,0,2,"32.427908","53.688046"
"Iran",2020-02-19,5601,6546,7491,313,2,2,"32.427908","53.688046"
"Iran",2020-02-20,5867,6857,7847,328,5,4,"32.427908","53.688046"
"Iran",2020-02-21,6145,7182,8219,343,18,5,"32.427908","53.688046"
"Iran",2020-02-22,6436,7522,8608,360,28,8,"32.427908","53.688046"
"Iran",2020-02-23,6740,7877,9014,377,43,12,"32.427908","53.688046"
"Iran",2020-02-24,7058,8248,9438,394,61,15,"32.427908","53.688046"
"Iran",2020-02-25,7390,8636,9882,413,95,19,"32.427908","53.688046"
"Iran",2020-02-26,7736,9041,10346,432,139,26,"32.427908","53.688046"
"Iran",2020-02-27,8098,9464,10830,452,245,34,"32.427908","53.688046"
"Iran",2020-02-28,8475,9905,11335,473,388,43,"32.427908","53.688046"
"Iran",2020-02-29,8870,10366,11862,496,593,54,"32.427908","53.688046"
"Iran",2020-03-01,9282,10848,12414,519,978,66,"32.427908","53.688046"
"Iran",2020-03-02,9712,11350,12988,543,1501,77,"32.427908","53.688046"
"Iran",2020-03-03,10159,11873,13587,568,2336,92,"32.427908","53.688046"
"Iran",2020-03-04,10626,12419,14212,594,2922,107,"32.427908","53.688046"
"Iran",2020-03-05,11113,12988,14863,621,3513,124,"32.427908","53.688046"
"Iran",2020-03-06,11621,13581,15541,649,4747,145,"32.427908","53.688046"
"Iran",2020-03-07,12150,14199,16248,679,5823,194,"32.427908","53.688046"
"Iran",2020-03-08,12701,14843,16985,710,6566,237,"32.427908","53.688046"
"Iran",2020-03-09,13273,15512,17751,742,7161,291,"32.427908","53.688046"
"Iran",2020-03-10,13870,16210,18550,775,8042,354,"32.427908","53.688046"
"Iran",2020-03-11,14491,16935,19379,810,9000,429,"32.427908","53.688046"
"Iran",2020-03-12,15136,17689,20242,846,10075,514,"32.427908","53.688046"
"Iran",2020-03-13,15807,18473,21139,883,11364,611,"32.427908","53.688046"
"Iran",2020-03-14,16504,19288,22072,922,12729,724,"32.427908","53.688046"
"Iran",2020-03-15,17228,20134,23040,962,13938,853,"32.427908","53.688046"
"Iran",2020-03-16,17980,21013,24046,1004,14991,988,"32.427908","53.688046"
"Iran",2020-03-17,18760,21924,25088,1048,16169,1135,"32.427908","53.688046"
"Iran",2020-03-18,19568,22869,26170,1093,17361,1284,"32.427908","53.688046"
"Iran",2020-03-19,20407,23849,27291,1140,18407,1433,"32.427908","53.688046"
"Iran",2020-03-20,21276,24865,28454,1189,19644,1556,"32.427908","53.688046"
"Iran",2020-03-21,22175,25916,29657,1239,20610,1685,"32.427908","53.688046"
"Iran",2020-03-22,23106,27004,30902,1291,21638,1812,"32.427908","53.688046"
"Iran",2020-03-23,24070,28130,32190,1345,23049,1934,"32.427908","53.688046"
"Iran",2020-03-24,25066,29294,33522,1400,24811,2077,"32.427908","53.688046"
"Iran",2020-03-25,26094,30496,34898,1458,27017,2234,"32.427908","53.688046"
"Iran",2020-03-26,27156,31737,36318,1517,29406,2378,"32.427908","53.688046"
"Iran",2020-03-27,28251,33017,37783,1578,32332,2517,"32.427908","53.688046"
"Iran",2020-03-28,29381,34337,39293,1641,35408,2640,"32.427908","53.688046"
"Iran",2020-03-29,30545,35697,40849,1706,38309,2757,"32.427908","53.688046"
"Iran",2020-03-30,31743,37098,42453,1773,41495,2898,"32.427908","53.688046"
"Iran",2020-03-31,32976,38538,44100,1842,44606,3036,"32.427908","53.688046"
"Iran",2020-04-01,34243,40019,45795,1913,47593,3160,"32.427908","53.688046"
"Iran",2020-04-02,35544,41540,47536,1986,50468,3160,"32.427908","53.688046"
"Iran",2020-04-03,36880,43101,49322,2060,50468,3452,"32.427908","53.688046"
