"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Lebanon",2019-12-30,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2019-12-31,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-01,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-02,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-03,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-04,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-05,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-06,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-07,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-08,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-09,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-10,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-11,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-12,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-13,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-14,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-15,0,0,0,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-16,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-17,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-18,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-19,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-20,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-21,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-22,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-23,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-24,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-25,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-26,1,1,1,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-27,2,2,2,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-28,2,2,2,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-29,2,2,2,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-30,2,2,2,0,0,0,"33.854721","35.862285"
"Lebanon",2020-01-31,2,2,2,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-01,2,2,2,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-02,3,3,3,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-03,3,3,3,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-04,3,3,3,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-05,3,4,5,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-06,3,4,5,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-07,3,4,5,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-08,4,5,6,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-09,4,5,6,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-10,5,6,7,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-11,6,7,8,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-12,6,7,8,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-13,7,8,9,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-14,8,9,10,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-15,8,10,12,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-16,9,11,13,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-17,10,12,14,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-18,11,13,15,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-19,12,14,16,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-20,13,15,17,0,0,0,"33.854721","35.862285"
"Lebanon",2020-02-21,14,17,20,0,1,0,"33.854721","35.862285"
"Lebanon",2020-02-22,16,19,22,0,1,0,"33.854721","35.862285"
"Lebanon",2020-02-23,18,21,24,1,1,0,"33.854721","35.862285"
"Lebanon",2020-02-24,20,23,26,1,1,0,"33.854721","35.862285"
