"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
164,2020-06-12,21,23,25,414
165,2020-06-13,22,24,26,432
166,2020-06-14,23,25,27,433
167,2020-06-15,23,25,27,438
168,2020-06-16,24,26,28,455
169,2020-06-17,24,26,28,473
170,2020-06-18,24,26,28,505
171,2020-06-19,25,27,29,518
172,2020-06-20,25,27,29,527
173,2020-06-21,26,28,30,533
174,2020-06-22,26,28,30,545
175,2020-06-23,26,28,30,NA
176,2020-06-24,26,28,30,NA
177,2020-06-25,27,29,31,NA
178,2020-06-26,27,29,31,NA
179,2020-06-27,27,29,31,NA
180,2020-06-28,27,29,31,NA
181,2020-06-29,27,29,31,NA
182,2020-06-30,27,29,31,NA
183,2020-07-01,27,30,33,NA
184,2020-07-02,27,30,33,NA
