"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
140,2020-05-19,4976,5108,5240,4977
141,2020-05-20,5241,5381,5521,5286
142,2020-05-21,5523,5670,5817,5596
143,2020-05-22,5818,5973,6128,5995
144,2020-05-23,6130,6293,6456,6338
145,2020-05-24,6458,6630,6802,6668
146,2020-05-25,6804,6985,7166,6962
147,2020-05-26,7168,7359,7550,7516
148,2020-05-27,7552,7753,7954,NA
149,2020-05-28,7956,8168,8380,NA
150,2020-05-29,8382,8605,8828,NA
151,2020-05-30,8830,9065,9300,NA
152,2020-05-31,9302,9550,9798,NA
153,2020-06-01,9799,10060,10321,NA
154,2020-06-02,10323,10598,10873,NA
