"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
119,2020-04-28,242,282,322,261
120,2020-04-29,252,293,334,292
121,2020-04-30,260,303,346,297
122,2020-05-01,269,313,357,320
123,2020-05-02,277,322,367,331
124,2020-05-03,284,331,378,337
125,2020-05-04,291,339,387,344
126,2020-05-05,298,347,396,365
127,2020-05-06,305,355,405,NA
128,2020-05-07,311,362,413,NA
129,2020-05-08,317,369,421,NA
130,2020-05-09,322,375,428,NA
131,2020-05-10,327,380,433,NA
132,2020-05-11,331,385,439,NA
133,2020-05-12,335,390,445,NA
