"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Norway",2019-12-30,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2019-12-31,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-01,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-02,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-03,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-04,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-05,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-06,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-07,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-08,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-09,0,0,0,0,0,0,"60.472024","8.468946"
"Norway",2020-01-10,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-11,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-12,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-13,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-14,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-15,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-16,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-17,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-18,1,1,1,0,0,0,"60.472024","8.468946"
"Norway",2020-01-19,2,2,2,0,0,0,"60.472024","8.468946"
"Norway",2020-01-20,2,2,2,0,0,0,"60.472024","8.468946"
"Norway",2020-01-21,2,2,2,0,0,0,"60.472024","8.468946"
"Norway",2020-01-22,2,2,2,0,0,0,"60.472024","8.468946"
"Norway",2020-01-23,3,3,3,0,0,0,"60.472024","8.468946"
"Norway",2020-01-24,3,3,3,0,0,0,"60.472024","8.468946"
"Norway",2020-01-25,3,3,3,0,0,0,"60.472024","8.468946"
"Norway",2020-01-26,4,4,4,0,0,0,"60.472024","8.468946"
"Norway",2020-01-27,4,4,4,0,0,0,"60.472024","8.468946"
"Norway",2020-01-28,5,5,5,0,0,0,"60.472024","8.468946"
"Norway",2020-01-29,5,5,5,0,0,0,"60.472024","8.468946"
"Norway",2020-01-30,6,6,6,0,0,0,"60.472024","8.468946"
"Norway",2020-01-31,7,7,7,0,0,0,"60.472024","8.468946"
"Norway",2020-02-01,8,8,8,0,0,0,"60.472024","8.468946"
"Norway",2020-02-02,8,9,10,0,0,0,"60.472024","8.468946"
"Norway",2020-02-03,9,10,11,0,0,0,"60.472024","8.468946"
"Norway",2020-02-04,10,11,12,0,0,0,"60.472024","8.468946"
"Norway",2020-02-05,11,12,13,0,0,0,"60.472024","8.468946"
"Norway",2020-02-06,13,14,15,0,0,0,"60.472024","8.468946"
"Norway",2020-02-07,14,15,16,0,0,0,"60.472024","8.468946"
"Norway",2020-02-08,16,17,18,0,0,0,"60.472024","8.468946"
"Norway",2020-02-09,19,20,21,1,0,0,"60.472024","8.468946"
"Norway",2020-02-10,21,22,23,1,0,0,"60.472024","8.468946"
"Norway",2020-02-11,24,25,26,1,0,0,"60.472024","8.468946"
"Norway",2020-02-12,26,28,30,1,0,0,"60.472024","8.468946"
"Norway",2020-02-13,30,32,34,1,0,0,"60.472024","8.468946"
"Norway",2020-02-14,34,36,38,1,0,0,"60.472024","8.468946"
"Norway",2020-02-15,38,40,42,1,0,0,"60.472024","8.468946"
"Norway",2020-02-16,42,45,48,1,0,0,"60.472024","8.468946"
"Norway",2020-02-17,48,51,54,1,0,0,"60.472024","8.468946"
"Norway",2020-02-18,54,57,60,2,0,0,"60.472024","8.468946"
"Norway",2020-02-19,61,65,69,2,0,0,"60.472024","8.468946"
"Norway",2020-02-20,69,73,77,2,0,0,"60.472024","8.468946"
"Norway",2020-02-21,77,82,87,2,0,0,"60.472024","8.468946"
"Norway",2020-02-22,87,92,97,3,0,0,"60.472024","8.468946"
"Norway",2020-02-23,98,104,110,3,0,0,"60.472024","8.468946"
"Norway",2020-02-24,110,117,124,3,0,0,"60.472024","8.468946"
"Norway",2020-02-25,124,132,140,4,0,0,"60.472024","8.468946"
"Norway",2020-02-26,139,148,157,4,1,0,"60.472024","8.468946"
"Norway",2020-02-27,156,166,176,5,4,0,"60.472024","8.468946"
"Norway",2020-02-28,176,187,198,5,6,0,"60.472024","8.468946"
"Norway",2020-02-29,198,210,222,6,15,0,"60.472024","8.468946"
"Norway",2020-03-01,222,236,250,7,19,0,"60.472024","8.468946"
"Norway",2020-03-02,250,265,280,7,25,0,"60.472024","8.468946"
"Norway",2020-03-03,281,298,315,8,33,0,"60.472024","8.468946"
"Norway",2020-03-04,315,334,353,9,56,0,"60.472024","8.468946"
"Norway",2020-03-05,353,375,397,11,86,0,"60.472024","8.468946"
"Norway",2020-03-06,396,420,444,12,113,0,"60.472024","8.468946"
"Norway",2020-03-07,443,470,497,13,147,0,"60.472024","8.468946"
"Norway",2020-03-08,496,526,556,15,169,0,"60.472024","8.468946"
"Norway",2020-03-09,554,588,622,16,192,0,"60.472024","8.468946"
"Norway",2020-03-10,619,657,695,18,277,0,"60.472024","8.468946"
"Norway",2020-03-11,690,732,774,21,489,1,"60.472024","8.468946"
"Norway",2020-03-12,769,816,863,23,621,1,"60.472024","8.468946"
"Norway",2020-03-13,856,908,960,25,621,1,"60.472024","8.468946"
"Norway",2020-03-14,951,1009,1067,28,907,1,"60.472024","8.468946"
"Norway",2020-03-15,1055,1120,1185,31,1077,3,"60.472024","8.468946"
"Norway",2020-03-16,1169,1240,1311,35,1169,3,"60.472024","8.468946"
