"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
178,2020-06-26,263,278,293,284
179,2020-06-27,278,294,310,284
180,2020-06-28,293,310,327,300
181,2020-06-29,308,326,344,326
182,2020-06-30,322,341,360,343
183,2020-07-01,337,357,377,363
184,2020-07-02,352,373,394,379
185,2020-07-03,368,389,410,400
186,2020-07-04,382,404,426,407
187,2020-07-05,396,419,442,415
188,2020-07-06,410,434,458,423
189,2020-07-07,423,448,473,NA
190,2020-07-08,437,462,487,NA
191,2020-07-09,449,475,501,NA
192,2020-07-10,461,488,515,NA
193,2020-07-11,473,500,527,NA
194,2020-07-12,483,511,539,NA
195,2020-07-13,493,522,551,NA
196,2020-07-14,504,533,562,NA
197,2020-07-15,513,543,573,NA
198,2020-07-16,522,552,582,NA
