"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
108,2020-04-17,162,183,204,195
109,2020-04-18,181,205,229,205
110,2020-04-19,203,230,257,236
111,2020-04-20,226,256,286,245
112,2020-04-21,250,283,316,263
113,2020-04-22,276,312,348,301
114,2020-04-23,302,342,382,345
115,2020-04-24,328,372,416,386
116,2020-04-25,355,402,449,NA
117,2020-04-26,381,432,483,NA
118,2020-04-27,408,462,516,NA
119,2020-04-28,434,491,548,NA
120,2020-04-29,458,519,580,NA
121,2020-04-30,481,545,609,NA
122,2020-05-01,503,570,637,NA
