"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
169,2020-06-17,46781,48925,51069,47446
170,2020-06-18,47392,49564,51736,48626
171,2020-06-19,47975,50173,52371,49720
172,2020-06-20,48529,50753,52977,51118
173,2020-06-21,49055,51303,53551,52113
174,2020-06-22,49554,51825,54096,52494
175,2020-06-23,50028,52320,54612,52831
176,2020-06-24,50475,52788,55101,54022
177,2020-06-25,50898,53230,55562,55136
178,2020-06-26,51297,53648,55999,55804
179,2020-06-27,51674,54042,56410,57089
180,2020-06-28,52029,54413,56797,NA
181,2020-06-29,52363,54762,57161,NA
182,2020-06-30,52677,55091,57505,NA
183,2020-07-01,52973,55400,57827,NA
184,2020-07-02,53250,55690,58130,NA
185,2020-07-03,53510,55962,58414,NA
186,2020-07-04,53755,56218,58681,NA
187,2020-07-05,53983,56457,58931,NA
188,2020-07-06,54198,56681,59164,NA
189,2020-07-07,54398,56891,59384,NA
