"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Peru",2019-12-30,5,5,5,0,0,NA,"0","0"
"Peru",2019-12-31,5,6,7,0,0,NA,"0","0"
"Peru",2020-01-01,5,6,7,0,0,NA,"0","0"
"Peru",2020-01-02,5,6,7,0,0,NA,"0","0"
"Peru",2020-01-03,6,7,8,0,0,NA,"0","0"
"Peru",2020-01-04,6,7,8,0,0,NA,"0","0"
"Peru",2020-01-05,7,8,9,0,0,NA,"0","0"
"Peru",2020-01-06,8,9,10,0,0,NA,"0","0"
"Peru",2020-01-07,8,9,10,0,0,NA,"0","0"
"Peru",2020-01-08,9,10,11,0,0,NA,"0","0"
"Peru",2020-01-09,10,11,12,0,0,NA,"0","0"
"Peru",2020-01-10,11,12,13,0,0,NA,"0","0"
"Peru",2020-01-11,11,12,13,0,0,NA,"0","0"
"Peru",2020-01-12,12,13,14,0,0,NA,"0","0"
"Peru",2020-01-13,13,14,15,0,0,NA,"0","0"
"Peru",2020-01-14,14,15,16,0,0,NA,"0","0"
"Peru",2020-01-15,16,17,18,0,0,NA,"0","0"
"Peru",2020-01-16,16,18,20,0,0,NA,"0","0"
"Peru",2020-01-17,17,19,21,1,0,NA,"0","0"
"Peru",2020-01-18,19,21,23,1,0,NA,"0","0"
"Peru",2020-01-19,20,22,24,1,0,NA,"0","0"
"Peru",2020-01-20,22,24,26,1,0,NA,"0","0"
"Peru",2020-01-21,24,26,28,1,0,NA,"0","0"
"Peru",2020-01-22,26,28,30,1,0,NA,"0","0"
"Peru",2020-01-23,27,30,33,1,0,NA,"0","0"
"Peru",2020-01-24,29,32,35,1,0,NA,"0","0"
"Peru",2020-01-25,32,35,38,1,0,NA,"0","0"
"Peru",2020-01-26,34,37,40,1,0,NA,"0","0"
"Peru",2020-01-27,37,40,43,1,0,NA,"0","0"
"Peru",2020-01-28,39,43,47,1,0,NA,"0","0"
"Peru",2020-01-29,42,46,50,1,0,NA,"0","0"
"Peru",2020-01-30,46,50,54,1,0,NA,"0","0"
"Peru",2020-01-31,49,54,59,1,0,NA,"0","0"
"Peru",2020-02-01,53,58,63,2,0,NA,"0","0"
"Peru",2020-02-02,57,62,67,2,0,NA,"0","0"
"Peru",2020-02-03,61,67,73,2,0,NA,"0","0"
"Peru",2020-02-04,66,72,78,2,0,NA,"0","0"
"Peru",2020-02-05,71,78,85,2,0,NA,"0","0"
"Peru",2020-02-06,76,83,90,2,0,NA,"0","0"
"Peru",2020-02-07,82,90,98,2,0,NA,"0","0"
"Peru",2020-02-08,89,97,105,3,0,NA,"0","0"
"Peru",2020-02-09,95,104,113,3,0,NA,"0","0"
"Peru",2020-02-10,102,112,122,3,0,NA,"0","0"
"Peru",2020-02-11,110,120,130,3,0,NA,"0","0"
"Peru",2020-02-12,119,130,141,4,0,NA,"0","0"
"Peru",2020-02-13,128,140,152,4,0,NA,"0","0"
"Peru",2020-02-14,137,150,163,4,0,NA,"0","0"
"Peru",2020-02-15,148,162,176,4,0,NA,"0","0"
"Peru",2020-02-16,159,174,189,5,0,NA,"0","0"
"Peru",2020-02-17,171,187,203,5,0,NA,"0","0"
"Peru",2020-02-18,184,201,218,6,0,NA,"0","0"
"Peru",2020-02-19,199,217,235,6,0,NA,"0","0"
