"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Philippines",2019-12-30,2,2,2,0,0,0,"12.879721","121.774017"
"Philippines",2019-12-31,2,2,2,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-01,2,2,2,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-02,3,3,3,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-03,3,3,3,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-04,3,3,3,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-05,3,3,3,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-06,4,4,4,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-07,4,4,4,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-08,4,4,4,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-09,4,5,6,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-10,4,5,6,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-11,4,5,6,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-12,5,6,7,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-13,5,6,7,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-14,6,7,8,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-15,6,7,8,0,0,0,"12.879721","121.774017"
"Philippines",2020-01-16,7,8,9,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-17,7,8,9,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-18,8,9,10,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-19,9,10,11,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-20,10,11,12,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-21,10,11,12,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-22,11,12,13,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-23,11,13,15,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-24,12,14,16,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-25,13,15,17,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-26,15,17,19,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-27,16,18,20,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-28,17,19,21,1,0,0,"12.879721","121.774017"
"Philippines",2020-01-29,19,21,23,1,1,0,"12.879721","121.774017"
"Philippines",2020-01-30,20,23,26,1,1,0,"12.879721","121.774017"
"Philippines",2020-01-31,21,24,27,2,1,1,"12.879721","121.774017"
"Philippines",2020-02-01,23,26,29,2,2,1,"12.879721","121.774017"
"Philippines",2020-02-02,25,28,31,2,2,1,"12.879721","121.774017"
"Philippines",2020-02-03,27,31,35,2,2,1,"12.879721","121.774017"
"Philippines",2020-02-04,29,33,37,2,2,1,"12.879721","121.774017"
"Philippines",2020-02-05,32,36,40,2,3,1,"12.879721","121.774017"
"Philippines",2020-02-06,34,38,42,2,3,1,"12.879721","121.774017"
