"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
168,2020-06-16,10871,11271,11671,10881
169,2020-06-17,11401,11821,12241,11559
170,2020-06-18,11949,12389,12829,12099
171,2020-06-19,12514,12975,13436,12567
172,2020-06-20,13096,13578,14060,13813
173,2020-06-21,13695,14199,14703,14264
174,2020-06-22,14308,14835,15362,14476
175,2020-06-23,14938,15488,16038,15269
176,2020-06-24,15582,16156,16730,16227
177,2020-06-25,16241,16839,17437,17080
178,2020-06-26,16911,17534,18157,18023
179,2020-06-27,17595,18243,18891,NA
180,2020-06-28,18289,18963,19637,NA
181,2020-06-29,18993,19693,20393,NA
182,2020-06-30,19706,20432,21158,NA
183,2020-07-01,20427,21179,21931,NA
184,2020-07-02,21153,21932,22711,NA
185,2020-07-03,21885,22691,23497,NA
186,2020-07-04,22620,23453,24286,NA
187,2020-07-05,23357,24217,25077,NA
188,2020-07-06,24094,24982,25870,NA
