"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
172,2020-06-20,171,181,191,185
173,2020-06-21,177,187,197,185
174,2020-06-22,183,193,203,195
175,2020-06-23,188,199,210,202
176,2020-06-24,193,204,215,206
177,2020-06-25,199,210,221,211
178,2020-06-26,204,215,226,219
179,2020-06-27,208,220,232,219
180,2020-06-28,213,225,237,230
181,2020-06-29,219,231,243,231
182,2020-06-30,222,235,248,238
183,2020-07-01,227,240,253,NA
184,2020-07-02,232,245,258,NA
185,2020-07-03,236,249,262,NA
186,2020-07-04,239,253,267,NA
187,2020-07-05,244,258,272,NA
188,2020-07-06,247,261,275,NA
189,2020-07-07,251,265,279,NA
190,2020-07-08,255,269,283,NA
191,2020-07-09,257,272,287,NA
192,2020-07-10,261,276,291,NA
