"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Poland",2019-12-30,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2019-12-31,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-01,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-02,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-03,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-04,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-05,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-06,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-07,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-08,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-09,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-10,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-11,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-12,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-13,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-14,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-15,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-16,0,0,0,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-17,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-18,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-19,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-20,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-21,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-22,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-23,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-24,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-25,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-26,1,1,1,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-27,2,2,2,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-28,2,2,2,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-29,2,2,2,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-30,2,2,2,0,0,NA,"51.919438","19.145136"
"Poland",2020-01-31,3,3,3,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-01,3,3,3,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-02,3,3,3,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-03,4,4,4,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-04,4,4,4,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-05,5,5,5,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-06,5,5,5,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-07,6,6,6,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-08,6,7,8,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-09,6,7,8,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-10,7,8,9,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-11,8,9,10,0,0,NA,"51.919438","19.145136"
"Poland",2020-02-12,10,11,12,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-13,11,12,13,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-14,12,13,14,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-15,14,15,16,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-16,16,17,18,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-17,18,19,20,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-18,19,21,23,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-19,22,24,26,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-20,25,27,29,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-21,28,30,32,1,0,NA,"51.919438","19.145136"
"Poland",2020-02-22,32,34,36,2,0,NA,"51.919438","19.145136"
"Poland",2020-02-23,35,38,41,2,0,NA,"51.919438","19.145136"
"Poland",2020-02-24,40,43,46,2,0,NA,"51.919438","19.145136"
"Poland",2020-02-25,45,48,51,2,0,NA,"51.919438","19.145136"
"Poland",2020-02-26,50,54,58,3,0,NA,"51.919438","19.145136"
"Poland",2020-02-27,56,60,64,3,0,NA,"51.919438","19.145136"
"Poland",2020-02-28,63,68,73,3,0,NA,"51.919438","19.145136"
"Poland",2020-02-29,70,76,82,4,0,NA,"51.919438","19.145136"
"Poland",2020-03-01,79,85,91,4,0,NA,"51.919438","19.145136"
"Poland",2020-03-02,89,96,103,5,0,0,"51.919438","19.145136"
"Poland",2020-03-03,100,108,116,5,1,NA,"51.919438","19.145136"
"Poland",2020-03-04,112,121,130,6,0,NA,"51.919438","19.145136"
"Poland",2020-03-05,125,135,145,7,0,0,"51.919438","19.145136"
"Poland",2020-03-06,141,152,163,7,5,0,"51.919438","19.145136"
"Poland",2020-03-07,158,170,182,8,6,0,"51.919438","19.145136"
"Poland",2020-03-08,177,191,205,9,11,0,"51.919438","19.145136"
"Poland",2020-03-09,198,214,230,10,17,0,"51.919438","19.145136"
"Poland",2020-03-10,223,240,257,12,22,0,"51.919438","19.145136"
"Poland",2020-03-11,249,269,289,13,31,1,"51.919438","19.145136"
"Poland",2020-03-12,280,302,324,15,49,2,"51.919438","19.145136"
"Poland",2020-03-13,313,338,363,17,68,3,"51.919438","19.145136"
"Poland",2020-03-14,351,379,407,19,104,3,"51.919438","19.145136"
"Poland",2020-03-15,393,424,455,21,125,4,"51.919438","19.145136"
"Poland",2020-03-16,440,475,510,23,177,5,"51.919438","19.145136"
"Poland",2020-03-17,492,531,570,26,238,5,"51.919438","19.145136"
"Poland",2020-03-18,551,594,637,29,287,5,"51.919438","19.145136"
"Poland",2020-03-19,616,664,712,33,355,5,"51.919438","19.145136"
"Poland",2020-03-20,687,741,795,36,425,5,"51.919438","19.145136"
"Poland",2020-03-21,767,827,887,41,536,7,"51.919438","19.145136"
"Poland",2020-03-22,856,923,990,45,634,8,"51.919438","19.145136"
"Poland",2020-03-23,954,1029,1104,50,749,10,"51.919438","19.145136"
"Poland",2020-03-24,1063,1146,1229,56,901,14,"51.919438","19.145136"
"Poland",2020-03-25,1182,1275,1368,62,1051,16,"51.919438","19.145136"
"Poland",2020-03-26,1314,1417,1520,69,1221,16,"51.919438","19.145136"
"Poland",2020-03-27,1458,1573,1688,77,1389,18,"51.919438","19.145136"
"Poland",2020-03-28,1617,1744,1871,85,1638,22,"51.919438","19.145136"
"Poland",2020-03-29,1790,1931,2072,95,1862,31,"51.919438","19.145136"
"Poland",2020-03-30,1979,2134,2289,105,2055,33,"51.919438","19.145136"
"Poland",2020-03-31,2183,2355,2527,115,2311,43,"51.919438","19.145136"
"Poland",2020-04-01,2406,2595,2784,127,2554,57,"51.919438","19.145136"
"Poland",2020-04-02,2645,2853,3061,140,2946,71,"51.919438","19.145136"
"Poland",2020-04-03,2902,3130,3358,153,3383,79,"51.919438","19.145136"
"Poland",2020-04-04,3177,3427,3677,168,3627,94,"51.919438","19.145136"
"Poland",2020-04-05,3470,3743,4016,183,4102,107,"51.919438","19.145136"
"Poland",2020-04-06,3780,4077,4374,200,4413,129,"51.919438","19.145136"
"Poland",2020-04-07,4106,4429,4752,217,4848,159,"51.919438","19.145136"
"Poland",2020-04-08,4449,4799,5149,235,5205,174,"51.919438","19.145136"
"Poland",2020-04-09,4805,5183,5561,254,5575,181,"51.919438","19.145136"
"Poland",2020-04-10,5175,5582,5989,274,5955,208,"51.919438","19.145136"
"Poland",2020-04-11,5555,5992,6429,294,6356,232,"51.919438","19.145136"
"Poland",2020-04-12,5944,6411,6878,314,6674,245,"51.919438","19.145136"
"Poland",2020-04-13,6339,6837,7335,335,6934,263,"51.919438","19.145136"
"Poland",2020-04-14,6738,7267,7796,356,7202,286,"51.919438","19.145136"
"Poland",2020-04-15,7137,7698,8259,377,7582,314,"51.919438","19.145136"
"Poland",2020-04-16,7535,8127,8719,398,7918,332,"51.919438","19.145136"
"Poland",2020-04-17,7929,8552,9175,419,8379,347,"51.919438","19.145136"
"Poland",2020-04-18,8316,8969,9622,440,8742,360,"51.919438","19.145136"
"Poland",2020-04-19,8693,9376,10059,459,9287,380,"51.919438","19.145136"
"Poland",2020-04-20,9059,9771,10483,479,9593,401,"51.919438","19.145136"
"Poland",2020-04-21,9411,10151,10891,497,9856,426,"51.919438","19.145136"
"Poland",2020-04-22,9750,10516,11282,515,10169,454,"51.919438","19.145136"
"Poland",2020-04-23,10072,10864,11656,532,10511,494,"51.919438","19.145136"
"Poland",2020-04-24,10377,11193,12009,549,10892,524,"51.919438","19.145136"
"Poland",2020-04-25,10666,11504,12342,564,11273,535,"51.919438","19.145136"
"Poland",2020-04-26,10936,11795,12654,578,11617,562,"51.919438","19.145136"
"Poland",2020-04-27,11188,12067,12946,591,11902,596,"51.919438","19.145136"
"Poland",2020-04-28,11422,12320,13218,604,12218,624,"51.919438","19.145136"
"Poland",2020-04-29,11639,12554,13469,615,12640,644,"51.919438","19.145136"
"Poland",2020-04-30,11841,12771,13701,626,12877,651,"51.919438","19.145136"
"Poland",2020-05-01,12025,12970,13915,636,13105,664,"51.919438","19.145136"
"Poland",2020-05-02,12194,13152,14110,645,13375,678,"51.919438","19.145136"
"Poland",2020-05-03,12349,13319,14289,653,13693,683,"51.919438","19.145136"
"Poland",2020-05-04,12490,13471,14452,660,13937,683,"51.919438","19.145136"
"Poland",2020-05-05,12617,13609,14601,667,NA,NA,"51.919438","19.145136"
"Poland",2020-05-06,12734,13735,14736,673,NA,NA,"51.919438","19.145136"
"Poland",2020-05-07,12840,13849,14858,679,NA,NA,"51.919438","19.145136"
"Poland",2020-05-08,12935,13952,14969,684,NA,NA,"51.919438","19.145136"
"Poland",2020-05-09,13022,14045,15068,688,NA,NA,"51.919438","19.145136"
"Poland",2020-05-10,13100,14129,15158,692,NA,NA,"51.919438","19.145136"
"Poland",2020-05-11,13169,14204,15239,696,NA,NA,"51.919438","19.145136"
