"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
193,2020-07-11,37933,40035,42137,40797
194,2020-07-12,39582,41775,43968,42537
195,2020-07-13,41268,43554,45840,43582
196,2020-07-14,42989,45371,47753,45363
197,2020-07-15,44745,47224,49703,47124
198,2020-07-16,46530,49108,51686,49405
199,2020-07-17,48344,51023,53702,51321
200,2020-07-18,50184,52964,55744,53553
201,2020-07-19,52045,54929,57813,54629
202,2020-07-20,53927,56915,59903,55909
203,2020-07-21,55823,58916,62009,57538
204,2020-07-22,57732,60931,64130,NA
205,2020-07-23,59651,62956,66261,NA
206,2020-07-24,61574,64986,68398,NA
207,2020-07-25,63499,67017,70535,NA
208,2020-07-26,65421,69046,72671,NA
209,2020-07-27,67339,71070,74801,NA
210,2020-07-28,69246,73083,76920,NA
211,2020-07-29,71141,75083,79025,NA
212,2020-07-30,73020,77066,81112,NA
213,2020-07-31,74879,79028,83177,NA
