"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Qatar",2019-12-30,1,1,1,0,0,0,"25.354826","51.183884"
"Qatar",2019-12-31,1,1,1,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-01,1,1,1,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-02,1,1,1,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-03,1,1,1,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-04,1,1,1,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-05,1,1,1,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-06,1,1,1,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-07,2,2,2,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-08,2,2,2,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-09,2,2,2,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-10,2,2,2,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-11,2,2,2,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-12,2,2,2,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-13,3,3,3,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-14,3,3,3,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-15,3,3,3,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-16,3,3,3,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-17,3,3,3,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-18,4,4,4,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-19,4,4,4,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-20,4,4,4,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-21,5,5,5,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-22,5,5,5,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-23,6,6,6,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-24,6,6,6,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-25,7,7,7,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-26,7,7,7,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-27,8,8,8,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-28,8,8,8,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-29,8,9,10,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-30,9,10,11,0,0,0,"25.354826","51.183884"
"Qatar",2020-01-31,10,11,12,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-01,11,12,13,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-02,12,13,14,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-03,13,14,15,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-04,14,15,16,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-05,15,16,17,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-06,16,17,18,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-07,18,19,20,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-08,19,20,21,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-09,21,22,23,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-10,23,24,25,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-11,25,26,27,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-12,26,28,30,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-13,28,30,32,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-14,31,33,35,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-15,34,36,38,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-16,37,39,41,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-17,40,42,44,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-18,42,45,48,0,0,0,"25.354826","51.183884"
"Qatar",2020-02-19,46,49,52,0,0,0,"25.354826","51.183884"
