"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
106,2020-04-15,3548,3717,3886,3743
107,2020-04-16,3810,3992,4174,3944
108,2020-04-17,4070,4264,4458,4349
109,2020-04-18,4324,4530,4736,4543
110,2020-04-19,4570,4788,5006,4765
111,2020-04-20,4807,5036,5265,4899
112,2020-04-21,5031,5271,5511,5306
113,2020-04-22,5242,5492,5742,5552
114,2020-04-23,5439,5699,5959,NA
115,2020-04-24,5622,5890,6158,NA
116,2020-04-25,5789,6065,6341,NA
117,2020-04-26,5941,6225,6509,NA
118,2020-04-27,6080,6370,6660,NA
119,2020-04-28,6205,6501,6797,NA
120,2020-04-29,6317,6618,6919,NA
