"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
123,2020-05-02,1145,1292,1439,1366
124,2020-05-03,1216,1373,1530,1392
125,2020-05-04,1291,1457,1623,1421
126,2020-05-05,1367,1543,1719,1536
127,2020-05-06,1445,1631,1817,1574
128,2020-05-07,1525,1721,1917,1739
129,2020-05-08,1606,1813,2020,1821
130,2020-05-09,1689,1906,2123,1919
131,2020-05-10,1772,2000,2228,NA
132,2020-05-11,1856,2095,2334,NA
133,2020-05-12,1940,2190,2440,NA
134,2020-05-13,2024,2285,2546,NA
135,2020-05-14,2109,2380,2651,NA
136,2020-05-15,2191,2473,2755,NA
137,2020-05-16,2273,2566,2859,NA
