"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
170,2020-06-18,17061,18179,19297,17822
171,2020-06-19,17656,18813,19970,18587
172,2020-06-20,18255,19452,20649,19138
173,2020-06-21,18860,20096,21332,19348
174,2020-06-22,19466,20742,22018,19710
175,2020-06-23,20075,21391,22707,20864
176,2020-06-24,20684,22040,23396,22009
177,2020-06-25,21293,22689,24085,23060
178,2020-06-26,21901,23337,24773,24114
179,2020-06-27,22506,23982,25458,25000
180,2020-06-28,23108,24623,26138,25243
181,2020-06-29,23706,25260,26814,NA
182,2020-06-30,24298,25891,27484,NA
183,2020-07-01,24884,26515,28146,NA
184,2020-07-02,25462,27131,28800,NA
185,2020-07-03,26031,27738,29445,NA
186,2020-07-04,26593,28336,30079,NA
187,2020-07-05,27143,28923,30703,NA
188,2020-07-06,27685,29500,31315,NA
189,2020-07-07,28214,30064,31914,NA
190,2020-07-08,28732,30616,32500,NA
