"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Rwanda",2019-12-30,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2019-12-31,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-01,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-02,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-03,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-04,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-05,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-06,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-07,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-08,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-09,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-10,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-11,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-12,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-13,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-14,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-15,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-16,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-17,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-18,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-19,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-20,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-21,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-22,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-23,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-24,0,0,0,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-25,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-26,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-27,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-28,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-29,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-30,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-01-31,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-01,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-02,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-03,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-04,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-05,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-06,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-07,1,1,1,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-08,2,2,2,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-09,2,2,2,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-10,2,2,2,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-11,2,2,2,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-12,2,2,2,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-13,2,2,2,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-14,2,2,2,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-15,3,3,3,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-16,3,3,3,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-17,3,3,3,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-18,3,3,3,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-19,3,3,3,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-20,4,4,4,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-21,4,4,4,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-22,4,4,4,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-23,4,5,6,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-24,4,5,6,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-25,4,5,6,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-26,5,6,7,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-27,5,6,7,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-28,6,7,8,NA,0,NA,"0","29.873888"
"Rwanda",2020-02-29,6,7,8,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-01,7,8,9,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-02,7,8,9,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-03,8,9,10,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-04,8,9,10,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-05,9,10,11,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-06,10,11,12,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-07,11,12,13,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-08,11,13,15,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-09,12,14,16,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-10,13,15,17,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-11,14,16,18,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-12,15,17,19,NA,0,NA,"0","29.873888"
"Rwanda",2020-03-13,16,18,20,NA,0,0,"0","29.873888"
"Rwanda",2020-03-14,17,19,21,NA,1,0,"0","29.873888"
"Rwanda",2020-03-15,18,21,24,NA,5,0,"0","29.873888"
"Rwanda",2020-03-16,19,22,25,NA,5,0,"0","29.873888"
"Rwanda",2020-03-17,21,24,27,NA,7,0,"0","29.873888"
"Rwanda",2020-03-18,23,26,29,NA,11,0,"0","29.873888"
"Rwanda",2020-03-19,24,27,30,NA,11,0,"0","29.873888"
"Rwanda",2020-03-20,25,29,33,NA,17,0,"0","29.873888"
"Rwanda",2020-03-21,27,31,35,NA,17,0,"0","29.873888"
"Rwanda",2020-03-22,30,34,38,NA,19,0,"0","29.873888"
"Rwanda",2020-03-23,32,36,40,NA,36,0,"0","29.873888"
"Rwanda",2020-03-24,33,38,43,NA,40,0,"0","29.873888"
"Rwanda",2020-03-25,36,41,46,NA,41,0,"0","29.873888"
"Rwanda",2020-03-26,39,44,49,NA,50,0,"0","29.873888"
