"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
159,2020-06-07,11054,11422,11790,11565
160,2020-06-08,11384,11763,12142,11565
161,2020-06-09,11711,12101,12491,12192
162,2020-06-10,12036,12437,12838,12594
163,2020-06-11,12356,12768,13180,12953
164,2020-06-12,12673,13095,13517,13165
165,2020-06-13,12985,13418,13851,13296
166,2020-06-14,13292,13735,14178,13360
167,2020-06-15,13593,14046,14499,NA
168,2020-06-16,13888,14351,14814,NA
169,2020-06-17,14176,14648,15120,NA
170,2020-06-18,14457,14939,15421,NA
171,2020-06-19,14731,15222,15713,NA
172,2020-06-20,14997,15497,15997,NA
173,2020-06-21,15256,15764,16272,NA
