"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
140,2020-05-19,3861,3975,4089,3967
141,2020-05-20,4138,4260,4382,4277
142,2020-05-21,4410,4540,4670,4734
143,2020-05-22,4674,4812,4950,4922
144,2020-05-23,4929,5074,5219,5131
145,2020-05-24,5170,5323,5476,5314
146,2020-05-25,5400,5559,5718,5448
147,2020-05-26,5613,5779,5945,5735
148,2020-05-27,5811,5983,6155,NA
149,2020-05-28,5993,6170,6347,NA
150,2020-05-29,6160,6342,6524,NA
151,2020-05-30,6311,6497,6683,NA
152,2020-05-31,6447,6637,6827,NA
153,2020-06-01,6568,6762,6956,NA
154,2020-06-02,6677,6874,7071,NA
