"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"South.Korea",2019-12-30,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2019-12-31,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-01,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-02,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-03,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-04,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-05,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-06,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-07,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-08,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-09,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-10,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-11,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-12,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-13,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-14,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-15,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-16,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-17,0,0,0,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-18,1,1,1,0,0,0,"35.907757","127.766922"
"South.Korea",2020-01-19,1,1,1,0,1,0,"35.907757","127.766922"
"South.Korea",2020-01-20,1,1,1,0,1,0,"35.907757","127.766922"
"South.Korea",2020-01-21,1,1,1,0,1,0,"35.907757","127.766922"
"South.Korea",2020-01-22,1,1,1,0,1,0,"35.907757","127.766922"
"South.Korea",2020-01-23,2,2,2,0,2,0,"35.907757","127.766922"
"South.Korea",2020-01-24,2,2,2,0,2,0,"35.907757","127.766922"
"South.Korea",2020-01-25,3,3,3,0,3,0,"35.907757","127.766922"
"South.Korea",2020-01-26,3,3,3,0,4,0,"35.907757","127.766922"
"South.Korea",2020-01-27,4,4,4,0,4,0,"35.907757","127.766922"
"South.Korea",2020-01-28,4,5,6,0,4,0,"35.907757","127.766922"
"South.Korea",2020-01-29,5,6,7,0,4,0,"35.907757","127.766922"
"South.Korea",2020-01-30,7,8,9,0,7,0,"35.907757","127.766922"
"South.Korea",2020-01-31,9,10,11,0,12,0,"35.907757","127.766922"
"South.Korea",2020-02-01,11,12,13,0,15,0,"35.907757","127.766922"
"South.Korea",2020-02-02,13,15,17,0,15,0,"35.907757","127.766922"
"South.Korea",2020-02-03,17,19,21,0,16,0,"35.907757","127.766922"
"South.Korea",2020-02-04,21,23,25,0,18,0,"35.907757","127.766922"
"South.Korea",2020-02-05,26,29,32,1,23,0,"35.907757","127.766922"
"South.Korea",2020-02-06,32,36,40,1,24,0,"35.907757","127.766922"
"South.Korea",2020-02-07,39,44,49,1,24,0,"35.907757","127.766922"
"South.Korea",2020-02-08,49,55,61,1,25,0,"35.907757","127.766922"
"South.Korea",2020-02-09,60,67,74,1,27,0,"35.907757","127.766922"
"South.Korea",2020-02-10,74,83,92,2,28,0,"35.907757","127.766922"
"South.Korea",2020-02-11,92,103,114,2,28,0,"35.907757","127.766922"
"South.Korea",2020-02-12,114,127,140,3,28,0,"35.907757","127.766922"
"South.Korea",2020-02-13,141,157,173,3,28,0,"35.907757","127.766922"
"South.Korea",2020-02-14,174,194,214,4,28,0,"35.907757","127.766922"
"South.Korea",2020-02-15,215,240,265,5,29,0,"35.907757","127.766922"
"South.Korea",2020-02-16,265,295,325,6,30,0,"35.907757","127.766922"
"South.Korea",2020-02-17,326,363,400,7,31,0,"35.907757","127.766922"
"South.Korea",2020-02-18,399,445,491,9,46,0,"35.907757","127.766922"
"South.Korea",2020-02-19,490,546,602,11,80,1,"35.907757","127.766922"
"South.Korea",2020-02-20,598,667,736,13,155,2,"35.907757","127.766922"
"South.Korea",2020-02-21,729,813,897,16,345,5,"35.907757","127.766922"
"South.Korea",2020-02-22,885,987,1089,20,601,7,"35.907757","127.766922"
"South.Korea",2020-02-23,1071,1194,1317,24,762,8,"35.907757","127.766922"
"South.Korea",2020-02-24,1289,1437,1585,29,892,11,"35.907757","127.766922"
"South.Korea",2020-02-25,1542,1719,1896,35,1146,12,"35.907757","127.766922"
"South.Korea",2020-02-26,1833,2043,2253,41,1595,13,"35.907757","127.766922"
"South.Korea",2020-02-27,2161,2409,2657,49,2022,16,"35.907757","127.766922"
"South.Korea",2020-02-28,2527,2817,3107,57,2931,17,"35.907757","127.766922"
"South.Korea",2020-02-29,2927,3263,3599,66,3526,22,"35.907757","127.766922"
"South.Korea",2020-03-01,3356,3741,4126,75,4212,28,"35.907757","127.766922"
"South.Korea",2020-03-02,3805,4242,4679,85,4812,32,"35.907757","127.766922"
"South.Korea",2020-03-03,4268,4758,5248,96,5328,35,"35.907757","127.766922"
"South.Korea",2020-03-04,4731,5274,5817,106,5766,42,"35.907757","127.766922"
"South.Korea",2020-03-05,5186,5781,6376,116,6284,44,"35.907757","127.766922"
"South.Korea",2020-03-06,5623,6268,6913,126,6767,50,"35.907757","127.766922"
"South.Korea",2020-03-07,6032,6724,7416,135,7134,51,"35.907757","127.766922"
"South.Korea",2020-03-08,6409,7144,7879,144,7382,54,"35.907757","127.766922"
"South.Korea",2020-03-09,6750,7524,8298,151,7513,60,"35.907757","127.766922"
"South.Korea",2020-03-10,7052,7861,8670,158,7755,66,"35.907757","127.766922"
"South.Korea",2020-03-11,7317,8156,8995,164,7869,67,"35.907757","127.766922"
"South.Korea",2020-03-12,7545,8411,9277,169,7979,72,"35.907757","127.766922"
"South.Korea",2020-03-13,7740,8628,9516,174,8086,75,"35.907757","127.766922"
"South.Korea",2020-03-14,7905,8812,9719,177,8162,75,"35.907757","127.766922"
"South.Korea",2020-03-15,8044,8967,9890,181,8236,81,"35.907757","127.766922"
"South.Korea",2020-03-16,8159,9095,10031,183,8320,86,"35.907757","127.766922"
"South.Korea",2020-03-17,8255,9202,10149,185,8413,91,"35.907757","127.766922"
"South.Korea",2020-03-18,8334,9290,10246,187,8565,100,"35.907757","127.766922"
"South.Korea",2020-03-19,8399,9362,10325,188,8652,103,"35.907757","127.766922"
"South.Korea",2020-03-20,8452,9421,10390,190,8799,104,"35.907757","127.766922"
"South.Korea",2020-03-21,8495,9469,10443,191,8897,113,"35.907757","127.766922"
"South.Korea",2020-03-22,8530,9508,10486,191,8961,120,"35.907757","127.766922"
"South.Korea",2020-03-23,8558,9540,10522,192,9037,126,"35.907757","127.766922"
"South.Korea",2020-03-24,8582,9566,10550,193,9137,131,"35.907757","127.766922"
"South.Korea",2020-03-25,8600,9587,10574,193,9241,139,"35.907757","127.766922"
"South.Korea",2020-03-26,8616,9604,10592,193,9332,144,"35.907757","127.766922"
"South.Korea",2020-03-27,8628,9618,10608,194,9478,152,"35.907757","127.766922"
"South.Korea",2020-03-28,8638,9629,10620,194,9583,158,"35.907757","127.766922"
"South.Korea",2020-03-29,8646,9638,10630,194,9661,163,"35.907757","127.766922"
"South.Korea",2020-03-30,8653,9646,10639,194,9786,163,"35.907757","127.766922"
"South.Korea",2020-03-31,8658,9651,10644,194,9786,169,"35.907757","127.766922"
"South.Korea",2020-04-01,8662,9656,10650,194,9976,174,"35.907757","127.766922"
"South.Korea",2020-04-02,8666,9660,10654,194,10062,177,"35.907757","127.766922"
"South.Korea",2020-04-03,8669,9663,10657,195,10156,183,"35.907757","127.766922"
"South.Korea",2020-04-04,8671,9666,10661,195,10237,186,"35.907757","127.766922"
"South.Korea",2020-04-05,8673,9668,10663,195,10284,192,"35.907757","127.766922"
"South.Korea",2020-04-06,8674,9669,10664,195,10331,200,"35.907757","127.766922"
"South.Korea",2020-04-07,8676,9671,10666,195,10384,204,"35.907757","127.766922"
"South.Korea",2020-04-08,8677,9672,10667,195,10423,208,"35.907757","127.766922"
"South.Korea",2020-04-09,8678,9673,10668,195,10450,208,"35.907757","127.766922"
"South.Korea",2020-04-10,8678,9673,10668,195,10450,211,"35.907757","127.766922"
"South.Korea",2020-04-11,8679,9674,10669,195,10480,211,"35.907757","127.766922"
"South.Korea",2020-04-12,8679,9674,10669,195,NA,NA,"35.907757","127.766922"
"South.Korea",2020-04-13,8679,9675,10671,195,NA,NA,"35.907757","127.766922"
"South.Korea",2020-04-14,8679,9675,10671,195,NA,NA,"35.907757","127.766922"
"South.Korea",2020-04-15,8679,9675,10671,195,NA,NA,"35.907757","127.766922"
"South.Korea",2020-04-16,8679,9675,10671,195,NA,NA,"35.907757","127.766922"
"South.Korea",2020-04-17,8680,9676,10672,195,NA,NA,"35.907757","127.766922"
"South.Korea",2020-04-18,8680,9676,10672,195,NA,NA,"35.907757","127.766922"
