"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
140,2020-05-19,65034,67919,70804,65995
141,2020-05-20,67555,70552,73549,69859
142,2020-05-21,70084,73193,76302,73739
143,2020-05-22,72614,75836,79058,76871
144,2020-05-23,75139,78473,81807,80558
145,2020-05-24,77654,81099,84544,82161
146,2020-05-25,80151,83707,87263,83625
147,2020-05-26,82624,86290,89956,86017
148,2020-05-27,85068,88842,92616,NA
149,2020-05-28,87477,91358,95239,NA
150,2020-05-29,89845,93831,97817,NA
151,2020-05-30,92168,96257,100346,NA
152,2020-05-31,94440,98630,102820,NA
153,2020-06-01,96659,100948,105237,NA
154,2020-06-02,98822,103206,107590,NA
