"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Spain",2019-12-30,0,0,0,0,0,0,"40.463667","0"
"Spain",2019-12-31,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-01,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-02,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-03,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-04,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-05,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-06,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-07,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-08,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-09,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-10,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-11,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-12,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-13,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-14,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-15,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-16,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-17,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-18,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-19,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-20,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-21,0,0,0,0,0,0,"40.463667","0"
"Spain",2020-01-22,1,1,1,0,0,0,"40.463667","0"
"Spain",2020-01-23,1,1,1,0,0,0,"40.463667","0"
"Spain",2020-01-24,1,1,1,0,0,0,"40.463667","0"
"Spain",2020-01-25,1,1,1,0,0,0,"40.463667","0"
"Spain",2020-01-26,1,1,1,0,0,0,"40.463667","0"
"Spain",2020-01-27,1,1,1,0,0,0,"40.463667","0"
"Spain",2020-01-28,1,2,3,0,0,0,"40.463667","0"
"Spain",2020-01-29,1,2,3,0,0,0,"40.463667","0"
"Spain",2020-01-30,1,2,3,0,0,0,"40.463667","0"
"Spain",2020-01-31,2,3,4,0,1,0,"40.463667","0"
"Spain",2020-02-01,2,3,4,0,1,0,"40.463667","0"
"Spain",2020-02-02,2,4,6,0,1,0,"40.463667","0"
"Spain",2020-02-03,3,5,7,1,1,0,"40.463667","0"
"Spain",2020-02-04,3,6,9,1,1,0,"40.463667","0"
"Spain",2020-02-05,4,7,10,1,1,0,"40.463667","0"
"Spain",2020-02-06,4,8,12,1,1,0,"40.463667","0"
"Spain",2020-02-07,6,10,14,1,1,0,"40.463667","0"
"Spain",2020-02-08,7,12,17,1,1,0,"40.463667","0"
"Spain",2020-02-09,8,15,22,2,2,0,"40.463667","0"
"Spain",2020-02-10,10,18,26,2,2,0,"40.463667","0"
"Spain",2020-02-11,12,21,30,2,2,0,"40.463667","0"
"Spain",2020-02-12,14,26,38,3,2,0,"40.463667","0"
"Spain",2020-02-13,17,31,45,3,2,0,"40.463667","0"
"Spain",2020-02-14,21,37,53,4,2,0,"40.463667","0"
"Spain",2020-02-15,25,45,65,5,2,0,"40.463667","0"
"Spain",2020-02-16,30,54,78,6,2,0,"40.463667","0"
"Spain",2020-02-17,36,65,94,7,2,0,"40.463667","0"
"Spain",2020-02-18,43,78,113,8,2,0,"40.463667","0"
"Spain",2020-02-19,52,94,136,10,2,0,"40.463667","0"
"Spain",2020-02-20,63,113,163,12,2,0,"40.463667","0"
"Spain",2020-02-21,76,136,196,14,2,0,"40.463667","0"
"Spain",2020-02-22,91,164,237,17,2,0,"40.463667","0"
"Spain",2020-02-23,110,197,284,20,2,0,"40.463667","0"
"Spain",2020-02-24,132,237,342,24,3,0,"40.463667","0"
"Spain",2020-02-25,158,285,412,29,7,0,"40.463667","0"
"Spain",2020-02-26,190,342,494,35,12,0,"40.463667","0"
"Spain",2020-02-27,229,412,595,42,25,0,"40.463667","0"
"Spain",2020-02-28,275,495,715,51,34,0,"40.463667","0"
"Spain",2020-02-29,331,595,859,61,66,0,"40.463667","0"
"Spain",2020-03-01,398,716,1034,73,83,0,"40.463667","0"
"Spain",2020-03-02,479,861,1243,88,114,0,"40.463667","0"
"Spain",2020-03-03,575,1035,1495,106,151,1,"40.463667","0"
"Spain",2020-03-04,691,1243,1795,127,200,3,"40.463667","0"
"Spain",2020-03-05,831,1494,2157,153,261,5,"40.463667","0"
"Spain",2020-03-06,997,1794,2591,184,374,5,"40.463667","0"
"Spain",2020-03-07,1198,2155,3112,221,430,5,"40.463667","0"
"Spain",2020-03-08,1438,2586,3734,265,589,28,"40.463667","0"
"Spain",2020-03-09,1725,3103,4481,318,1204,35,"40.463667","0"
"Spain",2020-03-10,2069,3721,5373,381,1639,47,"40.463667","0"
"Spain",2020-03-11,2479,4459,6439,456,2140,84,"40.463667","0"
"Spain",2020-03-12,2968,5338,7708,546,3004,121,"40.463667","0"
"Spain",2020-03-13,3550,6386,9222,653,4231,136,"40.463667","0"
"Spain",2020-03-14,4242,7630,11018,781,5753,288,"40.463667","0"
