"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
164,2020-06-12,5287,5515,5743,85622
165,2020-06-13,5370,5601,5832,88025
166,2020-06-14,5451,5686,5921,91198
167,2020-06-15,5530,5768,6006,93448
168,2020-06-16,5606,5847,6088,97676
169,2020-06-17,5681,5925,6169,98132
170,2020-06-18,5751,5999,6247,98530
171,2020-06-19,5821,6072,6323,105407
172,2020-06-20,5888,6141,6394,105591
173,2020-06-21,5953,6209,6465,106540
174,2020-06-22,6015,6274,6533,107731
175,2020-06-23,6075,6336,6597,NA
176,2020-06-24,6132,6396,6660,NA
177,2020-06-25,6188,6454,6720,NA
178,2020-06-26,6241,6510,6779,NA
179,2020-06-27,6292,6563,6834,NA
180,2020-06-28,6341,6614,6887,NA
181,2020-06-29,6388,6663,6938,NA
182,2020-06-30,6433,6710,6987,NA
183,2020-07-01,6476,6755,7034,NA
184,2020-07-02,6518,6798,7078,NA
