"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
162,2020-06-10,31,37,43,40
163,2020-06-11,33,39,45,40
164,2020-06-12,34,41,48,40
165,2020-06-13,36,43,50,43
166,2020-06-14,38,45,52,43
167,2020-06-15,39,46,53,43
168,2020-06-16,40,48,56,46
169,2020-06-17,41,49,57,49
170,2020-06-18,43,51,59,51
171,2020-06-19,44,52,60,53
172,2020-06-20,45,53,61,53
173,2020-06-21,45,54,63,NA
174,2020-06-22,46,55,64,NA
175,2020-06-23,47,56,65,NA
176,2020-06-24,48,57,66,NA
177,2020-06-25,48,57,66,NA
178,2020-06-26,49,58,67,NA
179,2020-06-27,50,59,68,NA
180,2020-06-28,50,59,68,NA
181,2020-06-29,50,60,70,NA
182,2020-06-30,50,60,70,NA
