"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"United.Kingdom",2019-12-30,0,0,0,0,0,0,"55.378051","0"
"United.Kingdom",2019-12-31,0,0,0,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-01,0,0,0,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-02,0,0,0,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-03,0,0,0,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-04,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-05,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-06,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-07,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-08,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-09,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-10,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-11,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-12,1,1,1,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-13,2,2,2,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-14,2,2,2,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-15,2,2,2,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-16,2,2,2,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-17,3,3,3,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-18,3,3,3,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-19,3,3,3,0,0,0,"55.378051","0"
"United.Kingdom",2020-01-20,4,4,4,1,0,0,"55.378051","0"
"United.Kingdom",2020-01-21,4,4,4,1,0,0,"55.378051","0"
"United.Kingdom",2020-01-22,5,5,5,1,0,0,"55.378051","0"
"United.Kingdom",2020-01-23,6,6,6,1,0,0,"55.378051","0"
"United.Kingdom",2020-01-24,6,6,6,1,0,0,"55.378051","0"
"United.Kingdom",2020-01-25,7,7,7,1,0,0,"55.378051","0"
"United.Kingdom",2020-01-26,7,8,9,1,0,0,"55.378051","0"
"United.Kingdom",2020-01-27,8,9,10,1,0,0,"55.378051","0"
"United.Kingdom",2020-01-28,10,11,12,2,0,0,"55.378051","0"
"United.Kingdom",2020-01-29,11,12,13,2,0,0,"55.378051","0"
"United.Kingdom",2020-01-30,13,14,15,2,2,0,"55.378051","0"
"United.Kingdom",2020-01-31,15,16,17,2,2,0,"55.378051","0"
"United.Kingdom",2020-02-01,17,18,19,3,2,0,"55.378051","0"
"United.Kingdom",2020-02-02,19,20,21,3,2,0,"55.378051","0"
"United.Kingdom",2020-02-03,21,23,25,4,2,0,"55.378051","0"
"United.Kingdom",2020-02-04,24,26,28,4,2,0,"55.378051","0"
"United.Kingdom",2020-02-05,27,29,31,4,2,0,"55.378051","0"
"United.Kingdom",2020-02-06,31,33,35,5,3,0,"55.378051","0"
"United.Kingdom",2020-02-07,35,38,41,6,3,0,"55.378051","0"
"United.Kingdom",2020-02-08,40,43,46,7,4,0,"55.378051","0"
"United.Kingdom",2020-02-09,45,48,51,7,4,0,"55.378051","0"
"United.Kingdom",2020-02-10,51,55,59,9,8,0,"55.378051","0"
"United.Kingdom",2020-02-11,58,62,66,10,8,0,"55.378051","0"
"United.Kingdom",2020-02-12,66,71,76,11,9,0,"55.378051","0"
"United.Kingdom",2020-02-13,75,80,85,12,9,0,"55.378051","0"
"United.Kingdom",2020-02-14,85,91,97,14,9,0,"55.378051","0"
"United.Kingdom",2020-02-15,96,103,110,16,9,0,"55.378051","0"
"United.Kingdom",2020-02-16,109,117,125,18,9,0,"55.378051","0"
"United.Kingdom",2020-02-17,124,133,142,21,9,0,"55.378051","0"
"United.Kingdom",2020-02-18,141,151,161,23,9,0,"55.378051","0"
"United.Kingdom",2020-02-19,159,171,183,27,9,0,"55.378051","0"
"United.Kingdom",2020-02-20,181,194,207,30,9,0,"55.378051","0"
"United.Kingdom",2020-02-21,205,220,235,34,9,0,"55.378051","0"
"United.Kingdom",2020-02-22,233,250,267,39,9,0,"55.378051","0"
"United.Kingdom",2020-02-23,264,283,302,44,13,0,"55.378051","0"
"United.Kingdom",2020-02-24,299,321,343,50,13,0,"55.378051","0"
"United.Kingdom",2020-02-25,339,364,389,56,13,0,"55.378051","0"
"United.Kingdom",2020-02-26,385,413,441,64,13,0,"55.378051","0"
"United.Kingdom",2020-02-27,437,469,501,73,16,0,"55.378051","0"
"United.Kingdom",2020-02-28,496,532,568,82,18,0,"55.378051","0"
