"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,1
2020-01-21,0,0,0,0,1
2020-01-22,0,0,0,0,1
2020-01-23,0,0,0,0,1
2020-01-24,0,0,0,0,2
2020-01-25,0,0,0,0,2
2020-01-26,0,0,0,0,5
2020-01-27,0,0,0,0,5
2020-01-28,0,0,0,0,5
2020-01-29,0,0,0,0,5
2020-01-30,0,0,0,0,6
2020-01-31,0,0,0,0,7
2020-02-01,0,0,0,0,8
2020-02-02,0,0,0,0,11
2020-02-03,0,0,0,0,11
2020-02-04,0,0,0,0,11
2020-02-05,0,0,0,0,12
2020-02-06,0,0,0,0,12
2020-02-07,0,0,0,0,12
2020-02-08,0,0,0,0,12
2020-02-09,0,0,0,0,12
2020-02-10,0,0,0,0,13
2020-02-11,0,0,0,0,13
2020-02-12,0,0,0,0,14
2020-02-13,0,0,0,0,15
2020-02-14,0,0,0,0,15
2020-02-15,0,0,0,0,15
2020-02-16,0,0,0,0,15
2020-02-17,0,0,0,0,15
2020-02-18,0,0,0,0,15
2020-02-19,0,0,0,0,15
2020-02-20,0,0,0,0,16
2020-02-21,0,0,0,0,35
2020-02-22,1,1,1,0,35
2020-02-23,1,1,1,0,35
2020-02-24,1,1,1,0,53
2020-02-25,2,2,2,0,53
2020-02-26,3,3,3,0,59
2020-02-27,3,4,5,0,60
2020-02-28,5,6,7,0,66
2020-02-29,8,9,10,0,69
2020-03-01,11,13,15,0,89
2020-03-02,17,20,23,0,103
2020-03-03,25,29,33,0,125
2020-03-04,37,43,49,1,159
2020-03-05,55,64,73,1,233
2020-03-06,80,94,108,1,338
2020-03-07,120,140,160,2,433
2020-03-08,177,207,237,3,554
2020-03-09,262,306,350,5,754
2020-03-10,387,453,519,7,1025
2020-03-11,573,670,767,10,1312
2020-03-12,847,990,1133,15,1663
2020-03-13,1248,1460,1672,22,2174
2020-03-14,1839,2151,2463,33,2951
2020-03-15,2702,3160,3618,48,3774
2020-03-16,3953,4623,5293,71,4661
2020-03-17,5750,6724,7698,103,6427
2020-03-18,8293,9699,11105,148,9415
2020-03-19,11826,13830,15834,211,14250
2020-03-20,16597,19410,22223,296,19624
2020-03-21,22807,26672,30537,407,26747
2020-03-22,30511,35682,40853,545,35206
2020-03-23,39522,46221,52920,705,46442
2020-03-24,49363,57729,66095,881,55231
2020-03-25,59333,69389,79445,1059,69194
2020-03-26,68698,80341,91984,1226,85991
2020-03-27,76887,89919,102951,1372,86548
2020-03-28,83616,97788,111960,1493,NA
2020-03-29,88865,103927,118989,1586,NA
2020-03-30,92796,108524,124252,1656,NA
2020-03-31,95653,111865,128077,1707,NA
2020-04-01,97682,114238,130794,1744,NA
2020-04-02,99101,115897,132693,1769,NA
2020-04-03,100081,117044,134007,1786,NA
