"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"Uruguay",2019-12-30,0,0,0,0,0,NA,"0","0"
"Uruguay",2019-12-31,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-01,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-02,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-03,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-04,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-05,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-06,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-07,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-08,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-09,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-10,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-11,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-12,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-13,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-14,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-15,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-16,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-17,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-18,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-19,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-20,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-21,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-22,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-23,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-24,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-25,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-26,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-27,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-28,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-29,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-30,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-01-31,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-02-01,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-02-02,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-02-03,0,0,0,0,0,NA,"0","0"
"Uruguay",2020-02-04,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-05,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-06,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-07,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-08,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-09,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-10,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-11,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-12,1,1,1,0,0,NA,"0","0"
"Uruguay",2020-02-13,2,2,2,0,0,NA,"0","0"
"Uruguay",2020-02-14,2,2,2,0,0,NA,"0","0"
"Uruguay",2020-02-15,2,2,2,0,0,NA,"0","0"
"Uruguay",2020-02-16,2,2,2,0,0,NA,"0","0"
"Uruguay",2020-02-17,3,3,3,0,0,NA,"0","0"
"Uruguay",2020-02-18,3,3,3,0,0,NA,"0","0"
"Uruguay",2020-02-19,3,3,3,0,0,NA,"0","0"
"Uruguay",2020-02-20,3,4,5,0,0,NA,"0","0"
"Uruguay",2020-02-21,3,4,5,0,0,NA,"0","0"
"Uruguay",2020-02-22,4,5,6,0,0,NA,"0","0"
"Uruguay",2020-02-23,5,6,7,0,0,NA,"0","0"
"Uruguay",2020-02-24,5,6,7,0,0,NA,"0","0"
"Uruguay",2020-02-25,6,7,8,0,0,NA,"0","0"
"Uruguay",2020-02-26,7,8,9,0,0,NA,"0","0"
"Uruguay",2020-02-27,8,9,10,0,0,NA,"0","0"
"Uruguay",2020-02-28,9,10,11,0,0,NA,"0","0"
"Uruguay",2020-02-29,10,12,14,0,0,NA,"0","0"
"Uruguay",2020-03-01,11,13,15,0,0,NA,"0","0"
"Uruguay",2020-03-02,13,15,17,0,0,NA,"0","0"
"Uruguay",2020-03-03,15,17,19,0,0,NA,"0","0"
"Uruguay",2020-03-04,16,19,22,0,0,NA,"0","0"
"Uruguay",2020-03-05,18,21,24,1,0,NA,"0","0"
"Uruguay",2020-03-06,21,24,27,1,0,NA,"0","0"
"Uruguay",2020-03-07,23,27,31,1,0,NA,"0","0"
"Uruguay",2020-03-08,26,30,34,1,0,NA,"0","0"
"Uruguay",2020-03-09,29,34,39,1,0,NA,"0","0"
"Uruguay",2020-03-10,33,38,43,1,0,NA,"0","0"
"Uruguay",2020-03-11,37,43,49,1,0,NA,"0","0"
"Uruguay",2020-03-12,41,48,55,1,0,NA,"0","0"
"Uruguay",2020-03-13,47,54,61,1,0,0,"0","0"
"Uruguay",2020-03-14,53,61,69,2,6,0,"0","0"
"Uruguay",2020-03-15,59,68,77,2,8,0,"0","0"
"Uruguay",2020-03-16,65,76,87,2,29,0,"0","0"
"Uruguay",2020-03-17,72,84,96,2,50,0,"0","0"
"Uruguay",2020-03-18,81,94,107,2,79,0,"0","0"
"Uruguay",2020-03-19,90,104,118,3,94,0,"0","0"
"Uruguay",2020-03-20,99,115,131,3,110,0,"0","0"
"Uruguay",2020-03-21,109,127,145,3,135,0,"0","0"
"Uruguay",2020-03-22,121,140,159,4,158,0,"0","0"
"Uruguay",2020-03-23,133,154,175,4,162,0,"0","0"
"Uruguay",2020-03-24,145,168,191,4,189,0,"0","0"
"Uruguay",2020-03-25,159,184,209,5,217,0,"0","0"
"Uruguay",2020-03-26,172,200,228,5,238,0,"0","0"
"Uruguay",2020-03-27,188,218,248,6,238,0,"0","0"
"Uruguay",2020-03-28,203,235,267,6,259,1,"0","0"
"Uruguay",2020-03-29,219,254,289,7,295,1,"0","0"
"Uruguay",2020-03-30,234,272,310,7,324,1,"0","0"
"Uruguay",2020-03-31,252,292,332,8,330,2,"0","0"
"Uruguay",2020-04-01,268,311,354,8,341,4,"0","0"
"Uruguay",2020-04-02,284,330,376,9,359,4,"0","0"
"Uruguay",2020-04-03,301,349,397,9,371,5,"0","0"
"Uruguay",2020-04-04,317,368,419,10,390,6,"0","0"
"Uruguay",2020-04-05,333,386,439,10,407,6,"0","0"
"Uruguay",2020-04-06,348,404,460,10,411,7,"0","0"
"Uruguay",2020-04-07,363,421,479,11,417,7,"0","0"
"Uruguay",2020-04-08,377,438,499,11,426,7,"0","0"
"Uruguay",2020-04-09,391,454,517,12,433,7,"0","0"
"Uruguay",2020-04-10,403,468,533,12,446,7,"0","0"
"Uruguay",2020-04-11,415,482,549,12,453,8,"0","0"
"Uruguay",2020-04-12,427,495,563,13,465,8,"0","0"
"Uruguay",2020-04-13,438,508,578,13,472,8,"0","0"
"Uruguay",2020-04-14,447,519,591,13,483,9,"0","0"
"Uruguay",2020-04-15,456,529,602,14,493,9,"0","0"
"Uruguay",2020-04-16,465,539,613,14,502,9,"0","0"
"Uruguay",2020-04-17,471,547,623,14,508,9,"0","0"
"Uruguay",2020-04-18,478,555,632,14,517,10,"0","0"
"Uruguay",2020-04-19,484,562,640,15,528,10,"0","0"
"Uruguay",2020-04-20,490,569,648,15,535,12,"0","0"
"Uruguay",2020-04-21,496,575,654,15,543,12,"0","0"
"Uruguay",2020-04-22,500,580,660,15,549,12,"0","0"
"Uruguay",2020-04-23,504,585,666,15,557,12,"0","0"
"Uruguay",2020-04-24,508,589,670,15,563,14,"0","0"
"Uruguay",2020-04-25,511,593,675,15,596,15,"0","0"
"Uruguay",2020-04-26,514,596,678,15,606,15,"0","0"
"Uruguay",2020-04-27,517,600,683,16,620,15,"0","0"
"Uruguay",2020-04-28,519,602,685,16,625,15,"0","0"
"Uruguay",2020-04-29,521,605,689,16,630,17,"0","0"
"Uruguay",2020-04-30,523,607,691,16,643,17,"0","0"
"Uruguay",2020-05-01,525,609,693,16,648,17,"0","0"
"Uruguay",2020-05-02,527,611,695,16,652,17,"0","0"
"Uruguay",2020-05-03,527,612,697,16,655,17,"0","0"
"Uruguay",2020-05-04,528,613,698,16,657,17,"0","0"
"Uruguay",2020-05-05,530,615,700,16,657,17,"0","0"
"Uruguay",2020-05-06,531,616,701,16,NA,NA,"0","0"
"Uruguay",2020-05-07,532,617,702,16,NA,NA,"0","0"
"Uruguay",2020-05-08,532,617,702,16,NA,NA,"0","0"
"Uruguay",2020-05-09,533,618,703,16,NA,NA,"0","0"
"Uruguay",2020-05-10,533,619,705,16,NA,NA,"0","0"
"Uruguay",2020-05-11,533,619,705,16,NA,NA,"0","0"
"Uruguay",2020-05-12,534,620,706,16,NA,NA,"0","0"
