"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
170,2020-06-18,56,62,68,57
171,2020-06-19,57,63,69,63
172,2020-06-20,59,65,71,64
173,2020-06-21,60,66,72,64
174,2020-06-22,62,68,74,68
175,2020-06-23,63,69,75,71
176,2020-06-24,64,71,78,71
177,2020-06-25,65,72,79,72
178,2020-06-26,66,73,80,76
179,2020-06-27,68,75,82,76
180,2020-06-28,69,76,83,85
181,2020-06-29,70,77,84,NA
182,2020-06-30,71,78,85,NA
183,2020-07-01,72,79,86,NA
184,2020-07-02,73,81,89,NA
185,2020-07-03,74,82,90,NA
186,2020-07-04,75,83,91,NA
187,2020-07-05,76,84,92,NA
188,2020-07-06,77,85,93,NA
189,2020-07-07,77,85,93,NA
190,2020-07-08,78,86,94,NA
