"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
169,2020-06-17,195,203,211,5216
170,2020-06-18,201,209,217,5405
171,2020-06-19,206,215,224,5597
172,2020-06-20,212,221,230,5753
173,2020-06-21,218,227,236,5854
174,2020-06-22,224,233,242,6023
175,2020-06-23,229,239,249,6153
176,2020-06-24,235,245,255,6308
177,2020-06-25,241,251,261,6554
178,2020-06-26,246,256,266,6808
179,2020-06-27,250,261,272,6808
180,2020-06-28,256,267,278,NA
181,2020-06-29,261,272,283,NA
182,2020-06-30,266,277,288,NA
183,2020-07-01,271,282,293,NA
184,2020-07-02,274,286,298,NA
185,2020-07-03,279,291,303,NA
186,2020-07-04,283,295,307,NA
187,2020-07-05,287,299,311,NA
188,2020-07-06,291,303,315,NA
189,2020-07-07,295,307,319,NA
