"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,350,489,628,22,27
2019-12-31,379,530,681,24,27
2020-01-01,411,574,737,26,27
2020-01-02,445,621,797,29,44
2020-01-03,482,673,864,31,44
2020-01-04,521,728,935,33,59
2020-01-05,564,788,1012,36,59
2020-01-06,611,854,1097,39,59
2020-01-07,661,924,1187,42,59
2020-01-08,717,1001,1285,46,59
2020-01-09,775,1083,1391,50,59
2020-01-10,840,1173,1506,54,59
2020-01-11,909,1270,1631,58,59
2020-01-12,984,1375,1766,63,60
2020-01-13,1066,1489,1912,68,60
2020-01-14,1154,1612,2070,74,61
2020-01-15,1249,1745,2241,80,61
2020-01-16,1353,1890,2427,87,66
2020-01-17,1465,2046,2627,94,83
2020-01-18,1586,2215,2844,102,219
2020-01-19,1717,2398,3079,110,239
2020-01-20,1859,2597,3335,119,392
2020-01-21,2012,2811,3610,129,534
2020-01-22,2179,3044,3909,140,631
2020-01-23,2360,3296,4232,152,897
2020-01-24,2554,3568,4582,164,1350
2020-01-25,2765,3863,4961,178,2023
2020-01-26,2995,4183,5371,192,2820
2020-01-27,3242,4529,5816,208,4587
2020-01-28,3510,4903,6296,225,6067
2020-01-29,3801,5309,6817,244,7823
2020-01-30,4115,5748,7381,264,9826
2020-01-31,4455,6223,7991,286,11946
2020-02-01,4824,6738,8652,310,14554
2020-02-02,5222,7295,9368,335,17372
2020-02-03,5655,7899,10143,363,20615
2020-02-04,6122,8552,10982,393,24522
2020-02-05,6628,9259,11890,426,28273
2020-02-06,7177,10025,12873,461,31491
2020-02-07,7770,10854,13938,499,34933
2020-02-08,8412,11751,15090,540,37552
2020-02-09,9108,12723,16338,585,40540
2020-02-10,9861,13775,17689,633,43105
2020-02-11,10677,14915,19153,686,45177
2020-02-12,11560,16148,20736,742,60328
2020-02-13,12516,17484,22452,804,64543
2020-02-14,13551,18929,24307,870,67103
2020-02-15,14672,20495,26318,942,69265
2020-02-16,15885,22190,28495,1020,71332
2020-02-17,17199,24025,30851,1105,73327
2020-02-18,18621,26012,33403,1196,75191
2020-02-19,20161,28163,36165,1295,75723
2020-02-20,21828,30492,39156,1402,76719
2020-02-21,23633,33013,42393,1518,77804
2020-02-22,25588,35744,45900,1644,78812
2020-02-23,27704,38699,49694,1779,79339
2020-02-24,29995,41900,53805,1927,80132
2020-02-25,32476,45365,58254,2086,80995
2020-02-26,35161,49116,63071,2258,82101
2020-02-27,38069,53178,68287,2445,83365
2020-02-28,41217,57575,73933,2647,85203
2020-02-29,44625,62336,80047,2866,87024
2020-03-01,48315,67491,86667,3103,89068
2020-03-02,52310,73072,93834,3360,90664
2020-03-03,56636,79114,101592,3638,93077
2020-03-04,61319,85656,109993,3938,95316
2020-03-05,66390,92739,119088,4264,98172
2020-03-06,71880,100408,128936,4617,102133
2020-03-07,77823,108710,139597,4998,105824
2020-03-08,84258,117699,151140,5412,109695
2020-03-09,91224,127430,163636,5859,114232
2020-03-10,98767,137967,177167,6344,118610
2020-03-11,106933,149374,191815,6868,125497
2020-03-12,115774,161724,207674,7436,133852
2020-03-13,125346,175095,224844,8051,143227
2020-03-14,135709,189570,243431,8716,151367
2020-03-15,146928,205243,263558,9437,167418
2020-03-16,159075,222210,285345,10217,180163
2020-03-17,172225,240580,308935,11062,194913
2020-03-18,186462,260467,334472,11976,213258
2020-03-19,201875,281998,362121,12966,242472
2020-03-20,218562,305307,392052,14038,271241
2020-03-21,236627,330542,424457,15198,305270
2020-03-22,256184,357861,459538,16454,338298
2020-03-23,277357,387437,497517,17814,378113
2020-03-24,300278,419455,538632,19287,417061
2020-03-25,325091,454117,583143,20880,467929
2020-03-26,351954,491641,631328,22606,528019
2020-03-27,381034,532263,683492,24473,591971
2020-03-28,412515,576238,739961,26495,614158
2020-03-29,446593,623842,801091,28684,NA
2020-03-30,483484,675374,867264,31054,NA
2020-03-31,523417,731157,938897,33619,NA
2020-04-01,566645,791541,1016437,36395,NA
2020-04-02,613437,856905,1100373,39401,NA
2020-04-03,664087,927657,1191227,42654,NA
2020-04-04,718912,1004241,1289570,46175,NA
