"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","mortes_confirmadas","latitude","longitude"
"World",2019-12-30,10213,11248,12283,623,27,0,"0","0"
"World",2019-12-31,10730,11818,12906,698,27,0,"0","0"
"World",2020-01-01,11274,12417,13560,530,27,0,"0","0"
"World",2020-01-02,11845,13046,14247,1093,44,0,"0","0"
"World",2020-01-03,12446,13707,14968,345,44,0,"0","0"
"World",2020-01-04,13076,14401,15726,384,59,0,"0","0"
"World",2020-01-05,13739,15131,16523,211,59,0,"0","0"
"World",2020-01-06,14434,15897,17360,331,59,0,"0","0"
"World",2020-01-07,15166,16703,18240,925,59,0,"0","0"
"World",2020-01-08,15934,17549,19164,972,59,0,"0","0"
"World",2020-01-09,16740,18437,20134,1088,59,1,"0","0"
"World",2020-01-10,17588,19371,21154,827,59,1,"0","0"
"World",2020-01-11,18479,20352,22225,1705,59,1,"0","0"
"World",2020-01-12,19414,21382,23350,538,60,1,"0","0"
"World",2020-01-13,20397,22464,24531,599,60,2,"0","0"
"World",2020-01-14,21429,23601,25773,329,61,2,"0","0"
"World",2020-01-15,22513,24795,27077,516,61,2,"0","0"
"World",2020-01-16,23653,26050,28447,1443,66,2,"0","0"
"World",2020-01-17,24849,27368,29887,1516,83,3,"0","0"
"World",2020-01-18,26106,28752,31398,1697,219,3,"0","0"
"World",2020-01-19,27426,30206,32986,1290,239,6,"0","0"
"World",2020-01-20,28814,31734,34654,2658,392,17,"0","0"
"World",2020-01-21,30270,33338,36406,839,534,17,"0","0"
"World",2020-01-22,31800,35023,38246,934,631,26,"0","0"
"World",2020-01-23,33407,36793,40179,513,897,41,"0","0"
"World",2020-01-24,35095,38652,42209,804,1350,56,"0","0"
"World",2020-01-25,36867,40604,44341,2249,2023,81,"0","0"
"World",2020-01-26,38729,42655,46581,2362,2820,106,"0","0"
"World",2020-01-27,40684,44808,48932,2645,4587,132,"0","0"
"World",2020-01-28,42738,47070,51402,2010,6067,170,"0","0"
"World",2020-01-29,44895,49445,53995,4142,7823,213,"0","0"
"World",2020-01-30,47160,51940,56720,1308,9826,259,"0","0"
"World",2020-01-31,49538,54559,59580,1455,11946,305,"0","0"
"World",2020-02-01,52036,57310,62584,798,14554,362,"0","0"
"World",2020-02-02,54658,60198,65738,1252,17372,427,"0","0"
"World",2020-02-03,57412,63231,69050,3502,20615,493,"0","0"
"World",2020-02-04,60304,66416,72528,3678,24522,565,"0","0"
"World",2020-02-05,63339,69759,76179,4118,28273,638,"0","0"
"World",2020-02-06,66527,73270,80013,3129,31491,724,"0","0"
"World",2020-02-07,69874,76956,84038,6446,34933,813,"0","0"
"World",2020-02-08,73387,80825,88263,2035,37552,910,"0","0"
"World",2020-02-09,77075,84887,92699,2263,40540,1018,"0","0"
"World",2020-02-10,80946,89151,97356,1242,43105,1115,"0","0"
"World",2020-02-11,85011,93627,102243,1948,45177,1370,"0","0"
"World",2020-02-12,89276,98325,107374,5445,60328,1383,"0","0"
"World",2020-02-13,93753,103256,112759,5719,64543,1527,"0","0"
"World",2020-02-14,98452,108431,118410,6401,67103,1669,"0","0"
"World",2020-02-15,103383,113862,124341,4862,69265,1775,"0","0"
"World",2020-02-16,108559,119562,130565,10015,71332,1873,"0","0"
"World",2020-02-17,113988,125542,137096,3161,73327,2012,"0","0"
"World",2020-02-18,119687,131818,143949,3514,75191,2128,"0","0"
"World",2020-02-19,125664,138401,151138,1928,75723,2247,"0","0"
"World",2020-02-20,131936,145309,158682,3023,76719,2359,"0","0"
"World",2020-02-21,138515,152554,166593,8449,77804,2463,"0","0"
"World",2020-02-22,145416,160155,174894,8870,78812,2619,"0","0"
"World",2020-02-23,152653,168126,183599,9925,79339,2698,"0","0"
"World",2020-02-24,160245,176487,192729,7536,80132,2762,"0","0"
"World",2020-02-25,168205,185254,202303,15518,80997,2800,"0","0"
"World",2020-02-26,176552,194447,212342,4895,82106,2857,"0","0"
"World",2020-02-27,185303,204085,222867,5441,83375,2921,"0","0"
"World",2020-02-28,194476,214188,233900,2984,85223,2979,"0","0"
"World",2020-02-29,204093,224779,245465,4676,87042,3046,"0","0"
"World",2020-03-01,214171,235879,257587,13063,89121,3118,"0","0"
"World",2020-03-02,224734,247512,270290,13708,90943,3202,"0","0"
"World",2020-03-03,235800,259700,283600,15331,93193,3282,"0","0"
"World",2020-03-04,247395,272470,297545,11635,95464,3384,"0","0"
"World",2020-03-05,259540,285846,312152,23944,98442,3488,"0","0"
"World",2020-03-06,272260,299856,327452,7549,102524,3585,"0","0"
"World",2020-03-07,285581,314527,343473,8385,106488,3813,"0","0"
"World",2020-03-08,299529,329888,360247,4596,110633,4021,"0","0"
"World",2020-03-09,314130,345969,377808,7198,115331,4293,"0","0"
"World",2020-03-10,329411,362799,396187,20092,120250,4619,"0","0"
"World",2020-03-11,345403,380412,415421,21068,127785,4968,"0","0"
"World",2020-03-12,362133,398838,435543,23544,136806,5407,"0","0"
"World",2020-03-13,379634,418113,456592,17854,146675,5768,"0","0"
"World",2020-03-14,397937,438271,478605,36711,158808,6514,"0","0"
"World",2020-03-15,417073,459346,501619,11564,171165,7112,"0","0"
"World",2020-03-16,437076,481377,525678,12834,184905,7912,"0","0"
"World",2020-03-17,457980,504400,550820,7027,201363,8854,"0","0"
"World",2020-03-18,479821,528454,577087,10994,221172,9897,"0","0"
"World",2020-03-19,502633,553579,604525,30658,251542,11266,"0","0"
"World",2020-03-20,526453,579813,633173,32111,282895,12966,"0","0"
"World",2020-03-21,551319,607199,663079,35844,316942,14607,"0","0"
"World",2020-03-22,577269,635779,694289,27149,350942,16387,"0","0"
"World",2020-03-23,604339,665593,726847,55753,393837,18651,"0","0"
"World",2020-03-24,632570,696686,760802,17539,434723,21224,"0","0"
"World",2020-03-25,662001,729100,796199,19438,486947,23973,"0","0"
"World",2020-03-26,692674,762881,833088,10628,547297,27395,"0","0"
"World",2020-03-27,724624,798070,871516,16603,611632,30888,"0","0"
"World",2020-03-28,757896,834714,911532,46228,674897,34017,"0","0"
"World",2020-03-29,792528,872856,953184,48340,732707,37911,"0","0"
"World",2020-03-30,828559,912540,996521,53869,796268,42540,"0","0"
"World",2020-03-31,866031,953810,1041589,40730,868867,47447,"0","0"
"World",2020-04-01,904983,996710,1088437,83488,945624,52403,"0","0"
"World",2020-04-02,945453,1041282,1137111,26214,1022366,59034,"0","0"
"World",2020-04-03,987481,1087569,1187657,28995,1103314,65179,"0","0"
"World",2020-04-04,1031100,1135610,1240120,15820,1188306,69854,"0","0"
"World",2020-04-05,1076350,1185446,1294542,24663,1257241,75120,"0","0"
"World",2020-04-06,1123264,1237115,1350966,68514,1329576,82783,"0","0"
"World",2020-04-07,1171873,1290651,1409429,71479,1404566,89219,"0","0"
"World",2020-04-08,1222211,1346091,1469971,79462,1489045,96664,"0","0"
"World",2020-04-09,1274305,1403465,1532625,59931,1574850,103885,"0","0"
"World",2020-04-10,1328180,1462801,1597422,122530,1664170,109911,"0","0"
"World",2020-04-11,1383863,1524128,1664393,38370,1744940,115177,"0","0"
"World",2020-04-12,1441372,1587466,1733560,42322,1816194,120548,"0","0"
"World",2020-04-13,1500726,1652836,1804946,23026,1882211,128152,"0","0"
"World",2020-04-14,1561938,1720252,1878566,35789,1958813,138672,"0","0"
"World",2020-04-15,1625019,1789726,1954433,99118,2038561,147381,"0","0"
"World",2020-04-16,1689974,1861265,2032556,103080,2121523,155949,"0","0"
"World",2020-04-17,1756805,1934870,2112935,114219,2203417,162442,"0","0"
"World",2020-04-18,1825510,2010539,2195568,85854,2283158,167478,"0","0"
"World",2020-04-19,1896080,2088261,2280442,174921,2355301,172814,"0","0"
"World",2020-04-20,1968502,2168024,2367546,54580,2431261,180098,"0","0"
"World",2020-04-21,2042759,2249807,2456855,59981,2516991,186201,"0","0"
"World",2020-04-22,2118826,2333584,2548342,32509,2583279,193645,"0","0"
"World",2020-04-23,2196673,2419322,2641971,50333,2660713,199077,"0","0"
"World",2020-04-24,2276267,2506983,2737699,138841,2734478,205323,"0","0"
"World",2020-04-25,2357563,2596519,2835475,143800,2835026,209251,"0","0"
"World",2020-04-26,2440517,2687881,2935245,158671,2918082,214141,"0","0"
"World",2020-04-27,2525073,2781007,3036941,118754,2983864,220659,"0","0"
"World",2020-04-28,2611173,2875834,3140495,240891,3055429,227330,"0","0"
"World",2020-04-29,2698750,2972288,3245826,74828,3133235,232864,"0","0"
"World",2020-04-30,2787733,3070290,3352847,81855,3217821,238704,"0","0"
"World",2020-05-01,2878045,3169756,3461467,44158,3309563,243469,"0","0"
"World",2020-05-02,2969602,3270593,3571584,68043,3390732,247155,"0","0"
"World",2020-05-03,3062317,3372705,3683093,186787,3469241,251154,"0","0"
"World",2020-05-04,3156095,3475988,3795881,192507,3546407,257103,"0","0"
"World",2020-05-05,3250837,3580333,3909829,211354,3625591,263489,"0","0"
"World",2020-05-06,3346443,3685629,4024815,157384,3715415,269235,"0","0"
"World",2020-05-07,3442803,3791756,4140709,317612,3809600,274501,"0","0"
"World",2020-05-08,3539810,3898595,4257380,98147,3899742,278941,"0","0"
"World",2020-05-09,3637347,4006018,4374689,106802,3989897,282351,"0","0"
"World",2020-05-10,3735300,4113900,4492500,57311,4066886,285921,"0","0"
"World",2020-05-11,3833551,4222109,4610667,87839,4137916,291697,"0","0"
"World",2020-05-12,3931980,4330515,4729050,239832,4223703,296884,"0","0"
"World",2020-05-13,4030467,4438984,4847501,245839,4309653,302254,"0","0"
"World",2020-05-14,4128892,4547385,4965878,268441,4406318,307425,"0","0"
"World",2020-05-15,4227133,4655584,5084035,198802,4504351,311693,"0","0"
"World",2020-05-16,4325073,4763450,5201827,399004,4598547,314666,"0","0"
"World",2020-05-17,4422591,4870853,5319115,122624,4679764,317928,"0","0"
"World",2020-05-18,4519573,4977665,5435757,132706,4766900,323156,"0","0"
"World",2020-05-19,4615906,5083762,5551618,70822,4861975,327957,"0","0"
"World",2020-05-20,4711480,5189023,5666566,107955,4961338,333399,"0","0"
