"dia_ano","dias","otimista","casos_estimados","pessimista","x"
160,2020-06-08,178,199,220,211
161,2020-06-09,187,209,231,223
162,2020-06-10,196,219,242,237
163,2020-06-11,206,230,254,245
164,2020-06-12,216,241,266,254
165,2020-06-13,226,252,278,256
166,2020-06-14,237,265,293,259
167,2020-06-15,249,278,307,265
168,2020-06-16,261,291,321,271
169,2020-06-17,273,305,337,281
170,2020-06-18,287,320,353,287
171,2020-06-19,301,336,371,NA
172,2020-06-20,315,352,389,NA
173,2020-06-21,331,369,407,NA
174,2020-06-22,347,387,427,NA
175,2020-06-23,364,406,448,NA
176,2020-06-24,381,425,469,NA
177,2020-06-25,400,446,492,NA
178,2020-06-26,419,468,517,NA
179,2020-06-27,440,491,542,NA
180,2020-06-28,461,514,567,NA
