"dia_ano","dias","otimista","casos_estimados","pessimista","x"
193,2020-07-11,991,1274,1557,1264
194,2020-07-12,1019,1310,1601,1281
195,2020-07-13,1047,1346,1645,1297
196,2020-07-14,1075,1383,1691,1314
197,2020-07-15,1105,1421,1737,1331
198,2020-07-16,1135,1460,1785,1348
199,2020-07-17,1167,1501,1835,1365
200,2020-07-18,1199,1542,1885,1381
201,2020-07-19,1233,1585,1937,1397
202,2020-07-20,1267,1629,1991,1413
203,2020-07-21,1302,1674,2046,1428
204,2020-07-22,1338,1720,2102,NA
205,2020-07-23,1374,1767,2160,NA
206,2020-07-24,1412,1816,2220,NA
207,2020-07-25,1452,1867,2282,NA
208,2020-07-26,1492,1918,2344,NA
209,2020-07-27,1533,1971,2409,NA
210,2020-07-28,1576,2026,2476,NA
211,2020-07-29,1619,2082,2545,NA
212,2020-07-30,1663,2139,2615,NA
213,2020-07-31,1709,2198,2687,NA
