"dia_ano","dias","otimista","casos_estimados","pessimista","x"
131,2020-05-10,822,917,1012,1004
132,2020-05-11,886,989,1092,1035
133,2020-05-12,956,1067,1178,1098
134,2020-05-13,1030,1150,1270,1160
135,2020-05-14,1111,1240,1369,1235
136,2020-05-15,1198,1337,1476,1331
137,2020-05-16,1292,1442,1592,1375
138,2020-05-17,1392,1554,1716,1413
139,2020-05-18,1502,1676,1850,NA
140,2020-05-19,1619,1807,1995,NA
141,2020-05-20,1746,1949,2152,NA
142,2020-05-21,1882,2101,2320,NA
143,2020-05-22,2030,2266,2502,NA
144,2020-05-23,2189,2443,2697,NA
145,2020-05-24,2360,2634,2908,NA
