"dia_ano","dias","otimista","casos_estimados","pessimista","x"
179,2020-06-27,4469,5943,7417,5981
180,2020-06-28,4601,6119,7637,5990
181,2020-06-29,4738,6301,7864,6076
182,2020-06-30,4879,6488,8097,6146
183,2020-07-01,5024,6681,8338,6180
184,2020-07-02,5174,6880,8586,6284
185,2020-07-03,5327,7084,8841,6351
186,2020-07-04,5485,7294,9103,6411
187,2020-07-05,5648,7511,9374,6441
188,2020-07-06,5816,7734,9652,6481
189,2020-07-07,5989,7964,9939,6556
190,2020-07-08,6167,8201,10235,NA
191,2020-07-09,6350,8445,10540,NA
192,2020-07-10,6538,8695,10852,NA
193,2020-07-11,6733,8954,11175,NA
194,2020-07-12,6933,9220,11507,NA
195,2020-07-13,7139,9494,11849,NA
196,2020-07-14,7351,9776,12201,NA
197,2020-07-15,7570,10067,12564,NA
198,2020-07-16,7795,10366,12937,NA
199,2020-07-17,8027,10674,13321,NA
