"dia_ano","dias","otimista","casos_estimados","pessimista","x"
192,2020-07-10,1548,1957,2366,1967
193,2020-07-11,1594,2015,2436,1984
194,2020-07-12,1642,2075,2508,2003
195,2020-07-13,1690,2136,2582,2040
196,2020-07-14,1741,2200,2659,2082
197,2020-07-15,1792,2265,2738,2097
198,2020-07-16,1845,2332,2819,2136
199,2020-07-17,1900,2401,2902,2174
200,2020-07-18,1956,2472,2988,2202
201,2020-07-19,2014,2546,3078,2222
202,2020-07-20,2074,2621,3168,2256
203,2020-07-21,2135,2699,3263,NA
204,2020-07-22,2199,2779,3359,NA
205,2020-07-23,2264,2861,3458,NA
206,2020-07-24,2331,2946,3561,NA
207,2020-07-25,2400,3033,3666,NA
208,2020-07-26,2471,3123,3775,NA
209,2020-07-27,2544,3216,3888,NA
210,2020-07-28,2620,3311,4002,NA
211,2020-07-29,2697,3409,4121,NA
212,2020-07-30,2777,3510,4243,NA
