"dia_ano","dias","otimista","casos_estimados","pessimista","x"
160,2020-06-08,163,174,185,173
161,2020-06-09,170,182,194,180
162,2020-06-10,177,189,201,188
163,2020-06-11,184,197,210,189
164,2020-06-12,193,206,219,194
165,2020-06-13,201,215,229,208
166,2020-06-14,209,224,239,211
167,2020-06-15,218,233,248,226
168,2020-06-16,227,243,259,246
169,2020-06-17,237,254,271,252
170,2020-06-18,248,265,282,264
171,2020-06-19,258,276,294,NA
172,2020-06-20,269,288,307,NA
173,2020-06-21,280,300,320,NA
174,2020-06-22,293,313,333,NA
175,2020-06-23,305,326,347,NA
176,2020-06-24,318,340,362,NA
177,2020-06-25,331,354,377,NA
178,2020-06-26,346,370,394,NA
179,2020-06-27,360,385,410,NA
180,2020-06-28,376,402,428,NA
