"dia_ano","dias","otimista","casos_estimados","pessimista","x"
118,2020-04-27,103,123,143,125
119,2020-04-28,115,138,161,145
120,2020-04-29,130,155,180,166
121,2020-04-30,145,173,201,184
122,2020-05-01,161,193,225,204
123,2020-05-02,181,216,251,224
124,2020-05-03,202,242,282,237
125,2020-05-04,226,271,316,249
126,2020-05-05,253,303,353,NA
127,2020-05-06,283,339,395,NA
128,2020-05-07,317,379,441,NA
129,2020-05-08,354,424,494,NA
130,2020-05-09,397,475,553,NA
131,2020-05-10,444,531,618,NA
132,2020-05-11,496,594,692,NA
