"dia_ano","dias","otimista","casos_estimados","pessimista","x"
129,2020-05-08,94,107,120,111
130,2020-05-09,99,113,127,118
131,2020-05-10,105,119,133,119
132,2020-05-11,111,126,141,121
133,2020-05-12,117,133,149,127
134,2020-05-13,123,140,157,135
135,2020-05-14,130,148,166,139
136,2020-05-15,137,156,175,146
137,2020-05-16,145,165,185,NA
138,2020-05-17,153,174,195,NA
139,2020-05-18,161,183,205,NA
140,2020-05-19,170,193,216,NA
141,2020-05-20,179,204,229,NA
142,2020-05-21,189,215,241,NA
143,2020-05-22,199,227,255,NA
