"dia_ano","dias","otimista","casos_estimados","pessimista","x"
161,2020-06-09,2889,3734,4579,3853
162,2020-06-10,3024,3909,4794,3927
163,2020-06-11,3167,4093,5019,4030
164,2020-06-12,3315,4284,5253,4132
165,2020-06-13,3470,4485,5500,4177
166,2020-06-14,3633,4696,5759,4191
167,2020-06-15,3804,4916,6028,4201
168,2020-06-16,3982,5146,6310,4291
169,2020-06-17,4169,5388,6607,NA
170,2020-06-18,4364,5640,6916,NA
171,2020-06-19,4569,5905,7241,NA
172,2020-06-20,4783,6182,7581,NA
173,2020-06-21,5007,6472,7937,NA
174,2020-06-22,5242,6775,8308,NA
175,2020-06-23,5488,7093,8698,NA
