"dia_ano","dias","otimista","casos_estimados","pessimista","x"
139,2020-05-18,186,198,210,207
140,2020-05-19,197,210,223,219
141,2020-05-20,210,223,236,230
142,2020-05-21,222,236,250,245
143,2020-05-22,236,251,266,248
144,2020-05-23,250,266,282,258
145,2020-05-24,265,282,299,272
146,2020-05-25,281,299,317,279
147,2020-05-26,298,317,336,NA
148,2020-05-27,316,336,356,NA
149,2020-05-28,335,356,377,NA
150,2020-05-29,355,378,401,NA
151,2020-05-30,377,401,425,NA
152,2020-05-31,400,425,450,NA
153,2020-06-01,423,450,477,NA
