"dia_ano","dias","otimista","casos_estimados","pessimista","x"
145,2020-05-24,195,205,215,200
146,2020-05-25,207,217,227,209
147,2020-05-26,220,231,242,220
148,2020-05-27,233,244,255,242
149,2020-05-28,247,259,271,254
150,2020-05-29,262,275,288,268
151,2020-05-30,278,291,304,305
152,2020-05-31,295,309,323,305
153,2020-06-01,312,327,342,NA
154,2020-06-02,331,347,363,NA
155,2020-06-03,350,367,384,NA
156,2020-06-04,372,390,408,NA
157,2020-06-05,394,413,432,NA
158,2020-06-06,418,438,458,NA
159,2020-06-07,442,464,486,NA
