"dia_ano","dias","otimista","casos_estimados","pessimista","x"
146,2020-05-25,107,114,121,109
147,2020-05-26,111,118,125,121
148,2020-05-27,116,123,130,126
149,2020-05-28,120,127,134,131
150,2020-05-29,124,132,140,134
151,2020-05-30,129,137,145,136
152,2020-05-31,134,142,150,143
153,2020-06-01,139,147,155,146
154,2020-06-02,144,153,162,NA
155,2020-06-03,150,159,168,NA
156,2020-06-04,156,165,174,NA
157,2020-06-05,161,171,181,NA
158,2020-06-06,167,177,187,NA
159,2020-06-07,173,184,195,NA
160,2020-06-08,180,191,202,NA
