"dia_ano","dias","otimista","casos_estimados","pessimista","x"
127,2020-05-06,154,159,164,160
128,2020-05-07,164,169,174,165
129,2020-05-08,174,180,186,183
130,2020-05-09,185,191,197,196
131,2020-05-10,196,202,208,202
132,2020-05-11,207,214,221,211
133,2020-05-12,218,225,232,225
134,2020-05-13,229,236,243,236
135,2020-05-14,240,248,256,NA
136,2020-05-15,251,259,267,NA
137,2020-05-16,262,270,278,NA
138,2020-05-17,272,281,290,NA
139,2020-05-18,282,291,300,NA
140,2020-05-19,293,302,311,NA
141,2020-05-20,301,311,321,NA
